Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-83.115005	1.6850014	-81.43	-84.8	1000.0	1999	-0.26290342	0.1165176	0.058128875	-0.49877563	0.2606803	5.790502e-05	107.40979790687561
2	-81.325	0.8449974	-80.48	-82.17	1000.0	3999	-0.8006185	0.22256894	-0.26646778	-1.3104348	0.7964853	3.5598554e-05	256.82954573631287
3	-62.675003	16.265001	-46.41	-78.94	797.0	5999	-1.4340181	0.25013217	-0.57415634	-2.0514414	1.4276353	7.30041e-05	398.3927047252655
4	-82.93	0.37999725	-82.55	-83.31	1000.0	7999	-2.0003154	0.31166232	-0.8709499	-2.7005246	1.992956	8.594687e-05	506.590833902359
5	-80.61	3.550003	-77.06	-84.16	1000.0	9999	-2.4982014	0.36359206	-1.1566886	-3.2642362	2.489659	9.222147e-05	653.6270086765289
6	-12.827001	7.4025745	-7.78	-34.06	226.6	11999	-2.788845	0.66781706	0.32943732	-3.809736	2.7789688	0.0011377402	2211.888792037964
7	-11.762221	2.1158752	-9.35	-15.45	231.77777	13999	-2.8676653	1.0119264	0.10466595	-4.3310676	2.8576357	0.0018171411	4048.146058320999
8	-11.9	1.9979365	-8.69	-14.73	247.0	15999	-2.91841	1.2327732	-0.12770921	-4.759577	2.9066837	0.002289713	5945.061882734299
9	-11.954286	2.64246	-8.39	-15.61	269.57144	17999	-2.9584224	1.3903455	-0.348047	-5.1862583	2.947532	0.0018913181	7894.354467630386
10	-9.493637	2.7973437	-5.92	-15.94	193.18182	19999	-2.9825726	1.5023184	-0.51839674	-5.5045185	2.969371	0.0017437496	9635.704896211624
11	-11.11	2.0648549	-8.65	-15.6	243.25	21999	-3.0135348	1.5639863	-0.6118895	-5.7749963	3.0014226	0.0016333231	11507.625303506851
12	-8.165	1.5110958	-6.62	-11.04	147.35715	23999	-3.0334477	1.5969054	-0.72187084	-6.0822577	3.0193167	0.0014633614	12728.348237276077
13	-9.360001	2.5388618	-5.46	-13.76	180.81818	25999	-3.0787606	1.620241	-0.69999236	-6.34704	3.0663137	0.0012992363	14477.186631441116
14	17.42	72.64628	195.12	-17.32	263.7143	27999	-2.8167715	1.8076502	-0.08042355	-7.092033	2.794313	1.6281438	16408.675268173218
15	-13.459999	3.368607	-8.46	-17.27	305.85715	29999	-2.375208	2.0437965	0.2394903	-6.646465	2.345061	1.2134751	18290.32626104355
16	-15.338	2.264539	-11.67	-18.34	345.0	31999	-2.11749	2.1175544	0.6458932	-6.5816817	2.0849273	1.6089834	20285.098709344864
17	-14.918334	1.1536813	-12.86	-16.63	348.5	33999	-1.8160851	2.2689915	1.7951789	-6.5708103	1.7786412	1.8005227	22224.7999727726
18	-12.774285	2.9546325	-8.78	-16.78	285.14285	35999	-1.6055708	2.3502567	2.2403877	-6.8711653	1.5752344	0.60926914	24092.839933872223
19	-14.036666	2.8079748	-9.05	-17.95	328.0	37999	-1.4481335	2.3895247	3.0329278	-8.176173	1.4126724	1.3948137	25747.670522212982
20	-33.706	41.128033	-11.62	-115.93	440.0	39999	-1.5138917	2.8916116	4.010732	-15.421138	1.4733856	1.5790461	26957.66081380844
21	-13.9875	2.4320505	-10.34	-17.19	319.5	41999	-1.3293781	3.1053348	4.595948	-16.17008	1.2622998	1.1904299	28121.027734041214
22	-15.822142	29.436897	-5.02	-121.89	194.92857	43999	-1.1389487	3.6289093	4.2139034	-16.043259	1.0881172	0.822456	29395.183891296387
23	-14.178333	1.4305878	-12.12	-16.29	325.16666	45999	-1.1111623	3.4494843	3.8417656	-15.476741	1.0943357	1.2116262	31264.027512788773
24	-12.735715	3.1882634	-9.33	-17.99	273.85715	47999	-1.1278917	3.327492	4.2810893	-14.880659	1.093823	1.0051773	33078.826551914215
25	-9.3775	3.9056714	-5.18	-16.99	181.83333	49999	-1.0253907	3.2279944	4.804216	-14.804275	0.98518705	0.6141727	34640.731592178345
26	10.352	60.76059	192.27	-18.25	198.4	51999	-0.85839885	3.2403653	5.2532945	-16.05211	0.80194414	1.2046802	36298.04957199097
27	-9.768749	3.149978	-6.88	-17.68	196.375	53999	-0.09538383	3.7863927	7.58672	-15.296051	-0.08465591	2.2076037	37607.33160305023
28	-23.237001	34.806774	-7.72	-127.31	245.1	55999	0.54016703	4.5766964	9.62917	-15.809712	-0.63561743	1.6597809	38647.80220079422
29	-9.785384	2.8039196	-6.2	-15.27	156.76923	57999	0.540399	4.34074	9.132237	-15.7976265	-0.61788356	1.463328	40186.53489255905
30	6.1058335	56.79892	194.28	-15.45	160.08333	59999	0.84266233	4.3486032	10.81513	-16.077986	-0.93077713	1.2991128	41710.65142607689
31	10.935557	63.365524	190.07	-15.05	230.33333	61999	1.1486561	4.4787083	12.0229	-15.573104	-1.2438059	2.2825854	43282.32010293007
32	-9.797501	1.3574216	-8.1	-12.45	204.375	63999	1.985622	5.149805	15.219602	-15.548146	-2.1393452	3.4092054	45028.124923467636
33	-14.74	3.8121514	-8.71	-19.23	348.5	65999	2.364623	5.216798	16.253447	-15.661817	-2.47369	3.5570054	46017.90920543671
34	-135.375	2.1950073	-133.18	-137.57	1000.0	67999	2.5491266	5.637846	16.985	-17.200256	-2.659312	3.1846552	46055.26741075516
35	-44.026	46.119648	-17.66	-136.07	564.2	69999	2.8755662	6.230329	19.3271	-18.093792	-3.0101357	3.3120997	47731.98177289963
36	-15.665	2.7037425	-11.31	-18.3	347.33334	71999	3.4504323	6.524363	20.949875	-16.947046	-3.5685835	1.909035	49603.23639726639
37	-14.391666	3.5414379	-7.71	-19.26	324.33334	73999	3.7023895	6.5810413	21.833979	-17.302496	-3.8118842	3.2020078	51473.31732702255
38	-17.05	1.2335482	-15.4	-18.61	379.0	75999	4.0680494	6.798333	23.879831	-17.476717	-4.1969457	2.772363	53393.14103555679
39	-12.588888	4.27413	-7.34	-20.17	232.66667	77999	4.2607217	6.8546357	24.513245	-17.189852	-4.362078	2.3118012	55144.01427412033
40	-15.096251	4.3933015	-5.45	-19.13	241.875	79999	4.1907277	6.7249455	22.340485	-18.159687	-4.2431154	2.3018441	56940.88753890991
41	-14.398889	4.7444577	-5.84	-18.85	223.77777	81999	3.7166402	6.408282	18.701584	-18.434313	-3.741518	1.2947794	58703.70902466774
42	-13.34	3.5918825	-7.61	-17.55	218.77777	83999	3.019272	6.055892	14.50522	-19.702206	-3.008834	2.4092164	60456.68507194519
