Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-92.21	0.0	-92.21	-92.21	1000.0	0.36424103	0.0025012072	0.3657145	0.29337314	1000	1.07765196e-07	77.5038	-0.0051477994	-73.538025	0.918938	0.022996046	0.329	3.0	793.036463022232
1	-91.79	0.0	-91.79	-91.79	1000.0	-6.7986555	0.017683811	-6.796766	-7.357458	2000	2.6941299e-08	5.1894917	-0.007602051	-4.949193	0.91908735	0.004508443	0.062	79.0	809.1206574440002
2	-111.16	0.0	-111.16	-111.16	1000.0	-8.986191	0.00023898785	-8.986149	-8.993714	3000	-3.4809112e-08	4.7254376	-0.0046934313	-4.256254	0.9002826	0.0061650057	0.03	79.0	828.4766480922699
3	-67.79	0.0	-67.79	-67.79	1000.0	-11.035602	0.0006063231	-11.035498	-11.054705	4000	6.194115e-07	16.906654	-0.0071830763	-15.801263	0.89836335	0.0022713111	0.076	79.0	1016.3807520866394
4	-85.05	0.0	-85.05	-85.05	1000.0	-8.062788	0.030746454	-7.0909996	-8.064331	5000	2.0742416e-08	0.26821056	-0.008021444	-0.15897474	0.8964088	0.004208563	0.068	79.0	1032.6143324375153
5	-95.44	0.0	-95.44	-95.44	1000.0	-8.310731	0.00537764	-8.308889	-8.47027	6000	1.6880036e-07	1.4627635	-0.0042041843	-1.3111589	0.89978004	0.005354793	0.025	79.0	1050.110452413559
6	-69.02	0.0	-69.02	-69.02	1000.0	-8.660496	0.025873497	-8.657406	-9.476171	7000	-1.1587143e-07	3.2905414	-0.0060068867	-2.6759226	0.89804095	0.002235561	0.039	79.0	1223.2960290908813
7	-47.64	0.0	-47.64	-47.64	987.0	-7.108258	0.16753533	-7.037775	-8.628291	8000	-4.1127205e-08	8.592862	-0.006320722	-7.9832773	0.887726	0.026514271	0.293	3.0	1957.8233423233032
8	-93.62	0.0	-93.62	-93.62	1000.0	-4.274661	0.09942783	-4.271461	-7.4172716	9000	-4.0626526e-07	21.978561	-0.0050879316	-21.188942	0.88721323	0.018869072	0.185	4.0	1972.8398487567902
9	-17.09	0.0	-17.09	-17.09	267.0	-9.3166275	0.02059498	-8.855521	-9.343066	10000	1.0281801e-08	7.7777057	-0.0016752759	-4.739356	0.8866096	0.015875768	0.228	4.0	2065.161198616028
10	-17.31	0.0	-17.31	-17.31	289.0	-6.8028536	0.070780985	-6.730334	-8.554225	11000	1.2300909e-08	3.2293506	-0.008251727	-2.6677957	0.8859948	0.010505674	0.106	79.0	2224.069023370743
11	-66.8	0.0	-66.8	-66.8	1000.0	-7.736181	0.0012883749	-7.7351065	-7.7709546	12000	-3.4570693e-08	1.090856	-0.006793345	-0.9865712	0.89787275	0.0037177564	0.069	79.0	2243.867783308029
12	-17.4	2.7000003	-14.7	-20.1	289.0	-5.255891	1.3841522	-3.6386442	-6.7756963	13000	-1.4305114e-08	1.8112105	-0.0056552626	-0.7696494	0.89330804	0.016128968	0.106	9.0	2504.8734560012817
13	-13.56	0.0	-13.56	-13.56	257.0	-4.5458107	0.5203246	-4.2373304	-7.861641	14000	4.10676e-08	21.818958	-0.0099663455	-19.810244	0.8925254	0.0025440995	0.071	79.0	2581.339682340622
14	-17.57	0.0	-17.57	-17.57	347.0	-3.6457822	0.17103025	-3.5799642	-8.930958	15000	4.2676927e-08	28.878942	-0.0055706683	-25.15818	0.87624055	0.0022912158	0.053	79.0	2737.5647206306458
15	-20.61	0.0	-20.61	-20.61	380.0	-8.077951	2.5045395	-4.873919	-10.044487	16000	-4.2289496e-08	2.5468125	-0.009048988	-1.2222883	0.86565334	0.0022984268	0.12	79.0	2908.625987291336
16	-85.66	0.0	-85.66	-85.66	1000.0	-7.8237786	0.053000458	-7.782843	-9.015996	17000	8.815527e-08	1.0926453	-0.0051954645	-0.7068106	0.85191274	0.005128382	0.043	79.0	2931.986037492752
17	-84.36	0.0	-84.36	-84.36	1000.0	-8.836131	0.0062787873	-8.654923	-8.841772	18000	-2.4020672e-08	0.43270943	-0.006097337	-0.06572628	0.8580895	0.0068879537	0.043	79.0	2949.592899799347
18	-88.16	0.0	-88.16	-88.16	1000.0	-8.705074	0.0044561243	-8.578895	-8.709226	19000	-3.2544136e-08	0.15385416	-0.002548108	-0.0053525865	0.8439161	0.01500773	0.181	4.0	2973.9620900154114
19	-144.95	0.0	-144.95	-144.95	1000.0	-8.7270775	0.0013241305	-8.724904	-8.756787	20000	-2.7656554e-08	35.95099	-0.0019650564	-31.616085	0.843624	0.021503033	0.217	3.0	2990.412257671356
20	-99.38	0.0	-99.38	-99.38	1000.0	-14.029231	0.009907049	-14.026833	-14.333705	21000	2.1648407e-07	14.004925	-0.00545783	-12.413335	0.84341806	0.007736955	0.046	79.0	3007.3438153266907
21	-115.28	0.0	-115.28	-115.28	1000.0	-11.572842	0.03630598	-10.479334	-11.588852	22000	6.555021e-08	0.20814908	-0.0074323895	-0.016731411	0.85470444	0.0043748654	0.061	79.0	3023.577304124832
22	-20.2	0.0	-20.2	-20.2	394.0	-10.092641	0.2483398	-9.783723	-11.5787735	23000	-6.395578e-08	16.618895	-0.008156728	-15.685915	0.8431687	0.012859161	0.139	79.0	3203.73019862175
23	-99.02	0.0	-99.02	-99.02	1000.0	-6.1304846	0.119974345	-5.9312077	-9.314349	24000	1.1825561e-07	13.495696	-0.010922972	-12.6028385	0.8332341	0.005833928	0.061	79.0	3222.87184715271
24	-85.49	0.0	-85.49	-85.49	1000.0	-9.861876	0.0066837613	-9.665501	-9.864135	25000	1.37090685e-08	1.7308962	-0.0010989871	-1.081353	0.83452874	0.017807217	0.216	3.0	4124.808776140213
25	-22.55	0.0	-22.55	-22.55	388.0	-9.1890545	0.7489232	-8.228457	-9.793163	26000	1.1742115e-08	8.157104	-0.0027109266	-7.034326	0.8343809	0.0027886478	0.041	79.0	4237.661477565765
26	-98.74	0.0	-98.74	-98.74	1000.0	-11.197178	0.0192586	-10.629605	-11.210325	27000	-6.6757204e-09	1.7831361	-0.003988843	-1.1152954	0.82149184	0.00058307435	0.019	79.0	4256.041985988617
27	-100.41	0.0	-100.41	-100.41	1000.0	-5.444228	0.14945064	-5.383147	-10.132721	28000	-4.196167e-07	17.700905	-0.0034740993	-16.902294	0.80418026	0.016392175	0.233	4.0	4273.351095199585
28	-99.74	0.0	-99.74	-99.74	1000.0	-9.5777	0.00014665774	-9.573545	-9.577762	29000	3.0755995e-08	0.5797908	-0.0052556708	-0.20286292	0.80370694	0.003136018	0.04	79.0	4292.122240781784
29	-14.16	0.0	-14.16	-14.16	213.0	-11.041571	0.5945129	-9.89558	-11.353886	30000	-1.0818243e-08	11.860533	-0.004488462	-9.314582	0.80906576	0.017617058	0.19	3.0	4386.629739522934
30	-123.53	0.0	-123.53	-123.53	1000.0	-4.0069194	0.2774534	-3.9901803	-12.775744	31000	-2.6512146e-07	62.810314	-0.008779739	-59.77469	0.80924994	0.00024231327	0.057	79.0	4403.321031808853
31	-119.05	0.0	-119.05	-119.05	1000.0	-14.083697	0.07569903	-11.691131	-14.0875025	32000	-9.1195105e-08	4.135304	-0.001905277	-2.8886085	0.81293035	0.01543271	0.142	3.0	4418.247048139572
32	-103.43	0.0	-103.43	-103.43	1000.0	-11.792674	0.018620707	-11.780708	-12.369077	33000	1.2993812e-08	4.4991503	-0.00848483	-1.0019343	0.812962	0.002107759	0.044	79.0	4434.412076711655
33	-147.58	0.0	-147.58	-147.58	1000.0	-12.100123	0.041022643	-10.803569	-12.1018505	34000	5.5551528e-08	8.7182045	-0.0064972094	-7.3774962	0.808858	0.0001471482	0.038	79.0	4450.0884737968445
34	-104.07	0.0	-104.07	-104.07	1000.0	-15.02841	0.0069432925	-14.809058	-15.02898	35000	8.2015994e-08	17.65613	-0.0056396383	-16.318716	0.7968912	0.020046134	0.186	2.0	4466.227170705795
35	-122.17	0.0	-122.17	-122.17	1000.0	-9.749819	0.040516485	-9.746165	-11.030107	36000	7.355213e-08	6.9911537	-0.009319252	-5.8798656	0.7967627	0.002952644	0.068	79.0	4482.960128068924
36	-52.41	0.0	-52.41	-52.41	691.0	-12.096715	0.03188836	-12.05962	-12.147035	37000	-1.1825561e-07	23.606684	-0.006818784	-21.74296	0.788774	0.0074430546	0.047	79.0	5023.963885068893
37	-11.54	0.0	-11.54	-11.54	185.0	-9.090203	0.0025440883	-9.084359	-9.091505	38000	3.1024218e-08	7.7126064	-0.0021951518	-1.5321956	0.7670125	0.016322425	0.337	3.0	5094.542596817017
38	-89.52	0.0	-89.52	-89.52	1000.0	-8.545486	0.013679592	-8.522909	-8.89185	39000	-3.5196543e-08	0.8914435	-0.0033061423	-0.33237916	0.76656085	0.016179558	0.245	3.0	5113.410829305649
39	-74.52	0.0	-74.52	-74.52	910.0	-7.27819	0.7557949	-7.036372	-9.688587	40000	1.0356307e-09	2.095275	-0.0062693693	-0.064254045	0.766222	0.0006187958	0.059	79.0	5548.678475856781
40	-58.02	0.0	-58.02	-58.02	768.0	-7.2986946	0.07530182	-7.266821	-9.630704	41000	7.852912e-09	1.91	-0.001673076	-0.22560632	0.7739225	0.016621249	0.191	4.0	5897.562446832657
