Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-105.958496	14.474499	-91.484	-120.433	1000.0	1999	1.5749204	0.47280338	2.3493257	0.26192993	-1.5763495	0.0004045379	76.0803451538086
2	-83.722	1.4729996	-82.249	-85.195	1000.0	3999	0.64810365	0.4239502	1.5090526	-0.2505735	-0.64875716	6.6694505e-05	191.9345302581787
3	-100.675	5.0839996	-95.591	-105.759	1000.0	5999	-0.3620844	0.39524686	0.59639335	-1.2601446	0.36207336	8.042362e-05	272.8656132221222
4	-70.954	12.977999	-57.976	-83.932	1000.0	7999	-1.3152145	0.3849346	-0.26731735	-2.1723819	1.3150381	6.951946e-05	353.48112964630127
5	-104.802505	12.071499	-92.731	-116.874	1000.0	9999	-2.1165774	0.43100217	-1.0296836	-3.0684912	2.1165757	9.422426e-05	434.8733558654785
6	-142.81	48.714	-94.096	-191.524	1000.0	11999	-2.83804	0.49370882	-1.7078722	-4.105386	2.838042	0.000119403216	520.5622673034668
7	-168.48901	1.1409988	-167.348	-169.63	1000.0	13999	-3.4947987	0.607067	-2.266613	-6.0830636	3.4955688	0.00016319356	601.8273136615753
8	-148.04851	33.8035	-114.245	-181.852	1000.0	15999	-4.2145095	0.80032164	-2.6205184	-7.88472	4.216275	0.0002084615	683.242525100708
9	-86.175995	7.1870003	-78.989	-93.363	1000.0	17999	-5.0029087	1.1307663	-2.9114614	-9.545736	5.0040903	0.00031369014	764.9555623531342
10	-83.1995	13.053497	-70.146	-96.253	1000.0	19999	-5.580725	1.3522928	-3.20288	-11.0179825	5.581178	0.00041122435	849.8844983577728
11	-154.7265	6.930496	-147.796	-161.657	1000.0	21999	-6.1476893	1.611687	-3.4039927	-12.373227	6.147753	0.00041673132	931.7061927318573
12	-148.15	4.333	-143.817	-152.483	1000.0	23999	-6.7475314	1.8656341	-3.6256785	-13.602836	6.7481766	0.00047641344	1013.4413692951202
13	-135.5845	42.108498	-93.476	-177.693	1000.0	25999	-7.308589	2.0840194	-3.791972	-14.708208	7.3094325	0.00067268335	1096.9940204620361
14	-172.2475	3.4284973	-168.819	-175.676	1000.0	27999	-7.8217044	2.2954905	-3.8615923	-15.780444	7.8225894	0.00058955746	1180.3869576454163
15	-140.946	52.824	-88.122	-193.77	1000.0	29999	-8.315468	2.568976	-3.8233252	-16.678812	8.316352	0.0006212918	1264.9004685878754
16	-89.285	0.8579979	-88.427	-90.143	1000.0	31999	-8.699675	2.8802395	-3.0357084	-17.665281	8.700368	0.00062784116	1346.364026069641
