Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-100.41166	10.847227	-89.993	-115.372	1000.0	2999	1.2272477	0.5702396	2.3622274	0.14002301	-1.2279633	0.00024223438	117.59780430793762
2	-93.81033	10.304923	-81.999	-107.109	1000.0	5999	-0.10228657	0.5248913	1.0211582	-1.2744975	0.10215007	8.965988e-05	263.22820353507996
3	-92.45434	25.16142	-62.164	-123.771	1000.0	8999	-1.5301144	0.4687053	-0.3291054	-2.6496804	1.5298545	7.855432e-05	392.8975648880005
4	-127.92533	44.53076	-94.179	-190.846	1000.0	11999	-2.7082534	0.52223617	-1.433067	-4.802499	2.7077477	0.000116470976	523.3068604469299
5	-95.29767	19.674366	-68.139	-114.114	1000.0	14999	-3.6934366	0.74367255	-2.232343	-7.3356314	3.6902812	0.0001704309	650.9310445785522
6	-99.07133	19.156172	-78.997	-124.863	1000.0	17999	-4.5101457	0.959469	-2.6201339	-9.345379	4.5065403	0.0002588275	772.6483294963837
7	-80.12566	11.5105505	-70.146	-96.253	1000.0	20999	-5.275217	1.138162	-2.7506192	-11.0525	5.27189	0.00026860207	895.947457075119
8	-64.861336	2.8688383	-62.096	-68.815	1000.0	23999	-5.599024	1.5929505	0.025201261	-12.678129	5.595725	0.00034124	1017.827544927597
9	-80.621666	24.173689	-59.07	-114.38	1000.0	26999	-5.8274627	1.9194775	-0.526407	-14.048147	5.822681	0.00039296562	1144.5798223018646
10	-82.498	25.433086	-58.584	-117.722	1000.0	29999	-6.079933	1.9812866	-1.05271	-15.088003	6.0724974	0.0005054612	1266.207221031189
11	-148.59967	11.042406	-135.607	-162.599	1000.0	32999	-6.386953	2.0326896	-1.2873983	-16.076832	6.3796315	0.000507611	1390.2990326881409
12	-132.79433	27.991056	-97.045	-165.391	1000.0	35999	-6.79153	2.1722565	-1.4716315	-17.178288	6.7849374	0.00054756174	1515.0745084285736
13	-130.61667	47.51514	-73.41	-189.75	1000.0	38999	-7.2212358	2.4506426	-1.7236645	-18.062637	7.2143817	0.0006256829	1640.6980769634247
14	-121.901	42.180153	-62.896	-158.99	1000.0	41999	-7.5971923	2.7349274	-1.9289594	-18.837887	7.5878263	0.000673199	1762.7957677841187
15	-95.599335	33.030563	-61.421	-140.264	1000.0	44999	-7.8958306	2.983051	-2.1227047	-19.445791	7.8858085	0.00058829563	1886.1571924686432
16	-78.419334	30.860283	-50.115	-121.341	1000.0	47999	-7.970109	3.2052794	-2.0712078	-20.03335	7.9612527	0.00070053595	2009.5298233032227
17	-116.17501	64.51644	-58.449	-206.229	1000.0	50999	-8.249424	3.4460616	-2.1625774	-20.682804	8.24131	0.0008457921	2136.383719921112
18	-60.17633	5.3163238	-55.085	-67.513	1000.0	53999	-8.279968	3.6100314	-2.0257223	-21.03393	8.2646475	0.00071994594	2258.715763568878
19	-53.418667	10.557193	-39.026	-64.053	1000.0	56999	-8.143511	3.7313893	-1.9867307	-21.37933	8.126858	0.0007855402	2380.9644918441772
20	-55.903004	14.180158	-44.444	-75.885	1000.0	59999	-7.9759893	3.8482	-1.8811921	-22.131086	7.9584985	0.0007962847	2509.321036338806
21	-51.349	8.659606	-42.686	-63.177	1000.0	62999	-7.815074	3.9055686	-1.752914	-22.851208	7.7975845	0.00084993447	2637.126976251602
22	-58.496338	9.953279	-44.432	-66.026	1000.0	65999	-7.6923285	3.977316	-1.8438292	-23.502884	7.675472	0.00083802536	2759.9376509189606
23	-57.458332	10.684883	-46.682	-72.02	1000.0	68999	-7.5870075	3.9812548	-1.9373739	-23.98425	7.5705757	0.00084823166	2886.939237356186
24	-50.57733	10.148305	-43.039	-64.923	1000.0	71999	-7.457771	4.0164595	-2.0588884	-24.338394	7.440927	0.0008484284	3010.076098680496
25	-53.723003	3.9550657	-48.265	-57.511	1000.0	74999	-7.3107257	4.006722	-1.9740664	-24.778486	7.2939024	0.0008037173	3133.272268295288
26	-68.180664	1.1605086	-66.585	-69.311	1000.0	77999	-7.187495	4.001799	-1.9692817	-25.219732	7.1702623	0.0007922864	3256.7163639068604
27	-52.709003	13.716338	-33.359	-63.563	1000.0	80999	-7.1148677	3.9772475	-2.2289016	-25.670897	7.098052	0.0008352892	3381.3780715465546
28	-61.818665	7.5992503	-51.095	-67.793	1000.0	83999	-6.9866066	3.9488428	-2.120532	-25.834991	6.9684386	0.0007688459	3505.1291892528534
29	-54.19933	4.7946453	-48.113	-59.831	1000.0	86999	-6.8739405	3.9050963	-2.3522491	-26.105997	6.8563046	0.0008626972	3628.5570261478424
30	-54.18633	7.6409764	-45.784	-64.272	1000.0	89999	-6.7857356	3.8650358	-2.3052714	-26.116837	6.768435	0.0007714031	3752.7081825733185
31	-49.899998	4.601982	-43.746	-54.811	1000.0	92999	-6.678408	3.807686	-2.197104	-26.121136	6.6615443	0.00081907545	3876.514568567276
32	-53.702	4.0019054	-48.301	-57.867	1000.0	95999	-6.5860643	3.7612188	-2.069332	-26.03119	6.570403	0.00076409115	4000.5278470516205
33	-40.684338	10.357359	-29.493	-54.464	915.0	98999	-6.5325007	3.7148733	-2.0392168	-26.309586	6.5170207	0.001985852	4124.748387813568
34	-54.357	7.4380546	-46.608	-64.392	1000.0	101999	-6.46833	3.6799686	-2.0622828	-26.419956	6.453423	0.0017432267	4248.689337253571
35	-52.033	2.9625695	-47.935	-54.837	1000.0	104999	-6.421083	3.6575549	-2.0550644	-26.426619	6.406015	0.0017699877	4372.530049562454
36	-53.855667	13.84829	-35.92	-69.635	1000.0	107999	-6.332086	3.6038177	-2.0691986	-26.259596	6.3157964	0.0067056282	4505.6886830329895
37	-48.061665	10.689926	-33.441	-58.702	1000.0	110999	-6.2796206	3.5801885	-2.2722123	-26.400227	6.263768	0.0052193613	4629.409085512161
38	-56.282665	16.629774	-35.072	-75.686	1000.0	113999	-6.198	3.5379875	-2.460944	-25.95028	6.18294	0.0012361079	4765.52787899971
39	-43.507336	6.2209682	-35.944	-51.181	1000.0	116999	-6.14309	3.5141423	-2.2174573	-26.111032	6.127707	0.0031486854	4923.591351032257
40	-47.216663	3.8162558	-43.568	-52.485	1000.0	119999	-6.047868	3.4743981	-1.9696621	-26.288576	6.0323358	0.0040928563	5050.750172138214
41	-44.854	4.6894617	-39.17	-50.655	1000.0	122999	-5.98278	3.4418962	-2.2156363	-26.196898	5.9680233	0.001264729	5180.638686418533
42	-46.628666	10.036882	-32.726	-56.059	1000.0	125999	-5.922807	3.4079359	-2.0276415	-26.42234	5.9076614	0.0037923076	5310.943663597107
43	-55.411335	3.9995713	-49.971	-59.472	1000.0	128999	-5.86711	3.3788722	-1.8759066	-26.433304	5.8526616	0.0023422907	5438.750292778015
44	-43.995	1.3347243	-42.109	-45.005	1000.0	131999	-5.8188033	3.3371482	-1.948091	-26.307892	5.8047605	0.0014003424	5566.039484977722
45	-37.399	3.6073437	-32.966	-41.802	1000.0	134999	-5.7644467	3.3085637	-2.0835855	-26.373114	5.750476	0.0014359191	5693.007346868515
46	-40.785336	9.723879	-29.586	-53.296	1000.0	137999	-5.7033215	3.2729414	-1.8637619	-26.305916	5.689341	0.0022510558	5821.352398395538
47	-48.779003	4.55706	-45.072	-55.198	1000.0	140999	-5.6681833	3.2563577	-2.012324	-26.308296	5.6545486	0.0014358527	5949.1488564014435
48	-41.415665	7.109979	-35.249	-51.377	1000.0	143999	-5.6001606	3.2153196	-1.9788617	-26.30193	5.586108	0.0035703229	6076.562331199646
49	-50.16467	9.246746	-37.472	-59.236	1000.0	146999	-5.5583715	3.2015173	-1.7611463	-26.358866	5.5448184	0.0034402069	6204.241463661194
50	-27.987665	17.510557	-3.224	-40.373	779.3333	149999	-5.488721	3.1691923	-1.8049003	-26.17817	5.4748516	0.0041597486	6335.288444042206
51	-55.194996	4.582133	-50.04	-61.173	1000.0	152999	-5.4633555	3.1680715	-1.6421465	-26.186699	5.44992	0.0034567318	6461.891519784927
52	-53.347332	8.377227	-42.703	-63.174	1000.0	155999	-5.430813	3.1421304	-1.9181007	-25.907639	5.418417	0.0018031638	6589.413651943207
53	-46.067333	2.4356043	-44.175	-49.506	1000.0	158999	-5.38308	3.0995054	-1.9238393	-25.892073	5.369806	0.004315616	6716.875602245331
54	-35.554	16.924717	-7.663	-52.938	824.5	161999	-5.36459	3.1009805	-1.8414264	-25.94672	5.3516083	0.004178915	6844.78226017952
55	-34.57325	18.659843	-3.387	-52.921	810.25	164999	-5.311315	3.0715122	-1.8491727	-25.863821	5.296805	0.008546485	6976.385225057602
56	-28.7965	18.61044	-5.779	-54.959	775.75	167999	-5.265787	3.073228	-2.0118551	-25.848646	5.2527814	0.004757741	7104.647578716278
57	-24.757002	20.400805	-3.061	-48.768	655.5	170999	-5.1912527	3.0528617	-1.9361566	-25.812582	5.176295	0.01120342	7235.193357467651
