Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-102.96734	14.7440405	-89.561	-123.501	1000.0	2999	-2.2928534	0.45962018	-1.0755553	-3.6315455	2.2920518	0.001043259	208.7146167755127
2	-92.69134	5.871493	-84.638	-98.47	1000.0	5999	-3.078043	0.49777085	-1.885226	-4.077852	3.078658	0.00017801492	625.0924718379974
3	-89.34333	25.241518	-59.63	-121.333	1000.0	8999	-4.063966	0.49660757	-2.8384838	-5.305391	4.064517	0.0002125114	1040.7162070274353
4	-88.309326	13.87584	-71.192	-105.178	1000.0	11999	-4.8764367	0.5734637	-3.576276	-6.3400626	4.8766046	0.00020951338	4022.703536272049
5	-162.185	24.659466	-143.069	-197.003	1000.0	14999	-5.414285	0.700981	-3.9125671	-7.602345	5.4151773	0.00026921355	4486.16867685318
6	-106.71366	27.824488	-69.714	-136.814	1000.0	17999	-6.187437	0.9061084	-4.4099603	-9.817525	6.1883826	0.00038357908	7471.895094633102
7	-159.01868	17.891735	-144.662	-184.241	1000.0	20999	-6.9871116	1.2357856	-4.4010367	-11.654856	6.987652	0.0004633792	7735.53099489212
8	-73.203	79.896164	-8.152	-189.434	495.8	23999	-7.73747	1.6915336	-3.3287854	-14.025571	7.7377	0.0030938368	8461.519892930984
9	-178.26967	29.849035	-145.047	-217.434	1000.0	26999	-8.691905	2.3740256	-2.4929292	-16.460876	8.692208	0.0050316732	8939.555093050003
10	-145.29025	79.1072	-8.993	-200.702	786.25	29999	-9.603188	2.9131064	-1.7371787	-17.763075	9.60374	0.004210214	9347.085056066513
11	-108.09801	59.358345	-11.088	-172.376	802.0	32999	-10.313144	3.301634	-1.4555439	-18.809843	10.314126	0.002914063	9703.079015016556
12	-112.387	73.08062	-14.846	-190.746	743.3333	35999	-10.775106	3.5133476	-0.7937124	-19.716064	10.774224	0.0043026335	10015.425246238708
13	-139.42934	12.405158	-129.91	-156.951	1000.0	38999	-11.21291	3.7007852	-0.6944671	-20.692326	11.2113285	0.0037686918	10267.953404426575
14	-114.77999	65.45388	-15.21	-191.581	813.5	41999	-11.601903	3.8554373	-0.32213926	-21.165888	11.601886	0.003383484	10588.2593832016
15	-95.226006	89.24925	-7.578	-227.178	587.6667	44999	-12.157241	4.207823	0.1575988	-22.762793	12.157621	0.0033480008	11118.696022510529
16	-107.20901	72.26239	-9.646	-182.332	726.3333	47999	-12.331463	4.413565	0.3315503	-23.228966	12.331959	0.0033044259	11424.060257196426
17	-60.06837	62.608543	-5.738	-151.361	484.125	50999	-12.484581	4.464076	0.49273053	-23.728846	12.485137	0.0032889354	11936.816139698029
18	-73.397835	84.81455	-10.419	-202.839	464.66666	53999	-12.723038	4.6789722	0.7413109	-24.023037	12.723779	0.0042260857	12581.469042301178
19	-121.986244	66.41045	-12.986	-190.547	796.75	56999	-12.977315	4.827471	0.7050885	-24.304611	12.97745	0.006904923	13007.259500265121
20	-173.13867	28.852512	-138.489	-209.125	1000.0	59999	-13.187817	4.922889	0.6602538	-24.57526	13.188	0.0054022814	13275.871755123138
21	-73.2888	74.55107	-11.321	-173.572	509.0	62999	-13.422626	4.991927	0.705251	-24.801435	13.423247	0.0060768966	13828.648230075836
