Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-104.77576	10.476067	-92.691	-120.263	1000.0	3999	0.8272123	0.67601013	2.3490853	-0.3060673	-0.8273043	0.00019205382	108.05449533462524
2	-96.845505	7.2262487	-88.163	-107.611	1000.0	7999	-1.069888	0.55850416	0.22265726	-2.1726694	1.0700781	7.9299796e-05	235.5840139389038
3	-89.1698	74.10758	-10.835	-214.018	679.0	11999	-2.751608	0.5054485	-1.5016247	-4.49835	2.7519522	0.0003686232	429.0352420806885
4	-111.097595	74.87848	-10.638	-191.099	729.8	15999	-4.298709	0.8100463	-2.8230438	-7.759867	4.2959876	0.0028197493	931.2371456623077
5	-180.39125	15.137344	-164.188	-200.399	1000.0	19999	-5.9220214	1.5210985	-2.3705435	-10.984032	5.9199266	0.0034077654	1027.8898496627808
6	-97.72758	77.52864	-9.558	-190.775	646.8571	23999	-7.2708564	2.1790617	-1.9053856	-13.733703	7.2695217	0.0044514816	1609.2711317539215
7	-152.3728	66.26318	-23.314	-207.498	880.0	27999	-8.600803	2.769062	-1.4190445	-15.961445	8.6005125	0.0031542715	1993.7754046916962
8	-145.3835	23.582373	-123.247	-184.668	1000.0	31999	-9.662821	3.283262	-1.1389946	-17.864449	9.662402	0.0033047171	2329.9158120155334
9	-143.88626	29.932627	-119.288	-192.921	1000.0	35999	-10.497079	3.5851314	-1.0063273	-19.466366	10.496729	0.0030706404	3142.812825202942
10	-124.97425	72.93279	-11.808	-214.245	787.5	39999	-11.328383	3.8595445	-0.73785186	-20.657703	11.328039	0.002762303	3379.014703989029
11	-102.39885	75.867516	-14.677	-187.533	696.7143	43999	-12.064532	4.1752195	0.16471867	-21.72562	12.064922	0.004681386	3963.6105422973633
12	-161.5245	26.954756	-133.441	-205.595	1000.0	47999	-12.471369	4.4076724	0.1859225	-22.529785	12.471434	0.0043015406	4061.4606597423553
13	-128.2865	66.032234	-15.232	-180.583	804.75	51999	-13.04367	4.592005	0.0013909508	-23.175274	13.043873	0.0041568056	4221.329709529877
14	-98.92575	87.92788	-8.364	-209.909	591.75	55999	-13.58512	4.7517557	-0.19249405	-23.732716	13.585561	0.0032847293	4523.821046113968
15	-92.0406	65.6367	-5.092	-175.828	707.4	59999	-13.896998	4.9747305	-0.08390987	-24.210459	13.897493	0.0055880463	5181.699279546738
16	-135.387	63.346245	-17.561	-197.375	850.8	63999	-14.100842	5.0536084	-0.029307248	-24.573248	14.1014	0.0054903254	5648.476236343384
17	-186.24776	33.875298	-131.967	-221.732	1000.0	67999	-14.456869	5.137791	-0.05920073	-25.54783	14.457482	0.004677575	5746.908905267715
18	-174.54074	29.120811	-133.432	-203.846	1000.0	71999	-14.723964	5.177945	-0.009636365	-25.77575	14.7193575	0.0046187695	5846.162907123566
19	-104.2592	66.22369	-14.017	-197.388	843.0	75999	-14.544957	5.086738	-0.51980674	-25.465788	14.537596	0.006364355	8098.864420413971
20	-145.883	36.389057	-111.795	-201.385	1000.0	79999	-14.24393	5.1524606	-0.7150396	-25.606478	14.2372265	0.0061099846	8208.365434408188
21	-168.40251	30.270231	-116.554	-190.27	1000.0	83999	-14.197256	4.9940276	-1.4317943	-25.61405	14.190566	0.004810727	8309.93274974823
22	-81.91371	81.194626	-11.101	-217.203	550.5714	87999	-14.22241	4.857096	-1.3874077	-25.543602	14.2168865	0.0060015162	8648.646358966827
23	-134.58176	65.87216	-22.553	-185.338	836.25	91999	-14.242526	4.7921233	-1.3093873	-25.251236	14.235861	0.006928801	8931.647169828415
24	-128.03775	36.268585	-73.693	-174.753	1000.0	95999	-14.304335	4.716652	-1.4590273	-25.026094	14.29712	0.005215649	10109.69135427475
25	-97.22175	86.31432	-11.407	-217.644	603.125	99999	-14.293352	4.7580905	-1.4470953	-24.911467	14.285172	0.005270607	10493.78523182869
26	-122.44075	78.39558	-21.419	-210.576	828.0	103999	-14.333675	4.819823	-0.97717994	-24.62707	14.326232	0.0051767393	12352.517887353897
27	-98.727	76.764725	-13.592	-210.032	743.3333	107999	-14.259275	4.9437065	-0.3869317	-24.488613	14.251216	0.004607053	14261.598474264145
28	-153.39742	71.836494	-14.93	-223.447	842.4	111999	-14.386674	4.9521904	-0.49679238	-24.187965	14.378332	0.003926851	14458.137493371964
29	-107.0236	82.8542	-4.571	-191.886	650.4	115999	-14.559824	4.9821205	-0.47162533	-23.735743	14.552372	0.0041517736	14620.957826375961
30	-158.9545	21.266182	-122.428	-175.464	1000.0	119999	-14.626762	4.956432	-0.23488116	-23.938286	14.6195	0.004349066	14719.6309299469
31	-129.3752	63.40859	-13.625	-190.159	839.4	123999	-14.715461	4.9792814	-0.25258577	-24.172874	14.710401	0.0047234944	15431.168310403824
32	-80.169174	48.983017	-10.017	-136.029	735.1667	127999	-14.700333	4.996402	-0.15314546	-24.419983	14.695831	0.004903765	16220.86456155777
33	-131.86024	72.33482	-10.548	-194.757	794.25	131999	-14.742243	5.038112	-0.121600345	-24.633675	14.737916	0.0052460614	16387.70453619957
34	-164.4905	60.46932	-62.682	-217.715	1000.0	135999	-14.876516	5.1073976	-0.16386825	-24.784601	14.871715	0.0039497865	17473.484272003174
35	-76.29962	67.550705	-4.915	-172.248	583.5	139999	-14.832714	5.1487856	-0.19739364	-25.02304	14.828071	0.005195941	18033.84583592415
36	-68.130714	73.02931	-5.982	-187.955	512.4286	143999	-14.831107	5.1702323	-0.18531227	-25.099327	14.827254	0.005068044	19235.06616282463
37	-161.1418	76.272514	-13.811	-220.997	840.2	147999	-14.932565	5.226177	-0.3239636	-25.210764	14.928496	0.0043057036	19369.633361816406
38	-136.31999	72.537964	-7.189	-208.076	828.8	151999	-15.018695	5.2400727	-0.3307054	-25.24446	15.013899	0.0057406756	19540.53092122078
39	-152.205	47.254303	-80.752	-199.256	1000.0	155999	-15.057826	5.2737107	-0.2735441	-25.37987	15.05402	0.004383454	20769.021421909332
40	-83.500336	57.749367	-7.258	-144.171	719.6667	159999	-15.050086	5.2766576	-0.19517358	-25.697206	15.047052	0.0041593006	22116.921437501907
41	-146.14024	37.980255	-91.3	-185.95	1000.0	163999	-15.048424	5.2796516	-0.3329403	-25.490234	15.045492	0.0065286043	23379.749601840973
42	-89.8564	73.05293	-14.13	-200.961	693.6	167999	-15.021956	5.292358	-0.2238789	-25.561098	15.018734	0.00446937	24680.982257843018
