Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-85.111	11.193841	-69.801	-95.96	1000.0	3999	0.66319406	0.4838065	1.9707571	-0.4635545	-0.6649033	0.00015047348	130.13194823265076
2	-100.61551	17.79329	-81.649	-121.958	1000.0	7999	-0.7225504	0.6418282	0.7640012	-2.1275449	0.721973	7.6029064e-05	258.8320255279541
3	-109.48601	38.041996	-74.752	-169.534	1000.0	11999	-2.133185	0.62565356	-0.52316004	-3.5817106	2.1328835	9.6618605e-05	377.98511147499084
4	-70.9762	61.17011	-4.789	-149.259	641.0	15999	-3.4212904	0.75116664	-1.4442544	-5.6787066	3.4206772	0.0011600909	1416.0210483074188
5	-146.44125	17.582268	-121.398	-169.34	1000.0	19999	-4.686141	1.105182	-2.1871953	-8.373808	4.6871924	0.0019380173	1509.150006055832
6	-143.5634	65.8002	-15.823	-196.493	853.8	23999	-6.1514606	1.7339367	-2.092649	-11.790251	6.1534085	0.001626378	1742.2723140716553
7	-114.835205	48.780365	-23.879	-156.044	886.2	27999	-7.345477	2.2643888	-2.0049071	-13.998677	7.3475676	0.001675771	2159.3544025421143
8	-69.657	56.53477	-9.674	-139.135	636.0	31999	-8.294098	2.6902795	-1.6995604	-15.731602	8.296066	0.0023201522	3042.209816932678
9	-138.84125	39.482437	-74.519	-182.114	1000.0	35999	-9.002629	3.2663794	-1.4120829	-17.168224	9.004543	0.0026226935	4397.187826156616
10	-152.88724	23.616861	-124.892	-180.618	1000.0	39999	-9.912936	3.5604353	-1.9965389	-18.310324	9.914764	0.0028690635	4494.202982902527
11	-86.66633	64.662186	-19.949	-202.11	796.8333	43999	-10.42059	3.8696008	-2.0515354	-19.653898	10.422068	0.0025416142	7364.332583427429
12	-69.584496	50.515285	-7.436	-127.718	666.0	47999	-10.644504	4.1868224	-2.073692	-20.397888	10.64589	0.0028059091	8078.740805149078
13	-99.515594	72.600136	-6.808	-172.313	669.0	51999	-11.036493	4.3024516	-1.9628404	-21.026545	11.03772	0.003597863	8310.744844198227
14	-144.40701	33.275967	-108.611	-195.623	1000.0	55999	-11.513232	4.434952	-2.0328884	-21.566612	11.514106	0.0044362214	8408.491117954254
15	-162.55075	19.983786	-139.933	-191.629	1000.0	59999	-11.949935	4.5136395	-1.9556003	-21.998184	11.949377	0.0039536348	8505.370854139328
16	-134.61499	68.42235	-8.422	-213.159	832.4	63999	-12.333761	4.608528	-1.5698979	-22.396854	12.3334	0.0063624256	8648.493937015533
17	-75.9742	44.27676	-16.897	-129.135	729.4	67999	-12.210761	4.5662456	-2.0094156	-22.460644	12.196285	0.006983718	12627.954275608063
18	-72.92257	50.211857	-16.806	-165.969	701.4286	71999	-11.976743	4.5272017	-2.175598	-22.660397	11.963198	0.009455	13939.839068174362
19	-37.969856	35.727425	-9.877	-99.895	479.2857	75999	-11.624798	4.5117073	-2.2737813	-22.408539	11.601842	0.00852222	15881.708275794983
20	-47.045498	24.177088	-10.193	-71.112	707.0	79999	-11.05434	4.530704	-2.372286	-21.953587	11.027109	0.009102368	19579.564543008804
21	-60.416	35.476715	-11.08	-101.189	740.1667	83999	-10.608847	4.530786	-2.208096	-21.368925	10.586267	0.008803488	24139.823417425156
22	-26.4845	21.431417	-5.5	-88.021	378.9	87999	-10.287248	4.558325	-1.1052146	-21.202532	10.266209	0.0091015035	26704.221694469452
23	-53.994335	36.60312	-12.733	-103.1	644.8333	91999	-10.013188	4.5617514	-1.3966297	-21.210339	9.991658	0.010329925	28173.353089571
24	-40.879	25.117558	-16.38	-78.487	617.1429	95999	-9.783042	4.5982747	-1.5537956	-21.41447	9.762641	0.009410575	30824.7537150383
25	-39.295143	29.47782	-9.849	-82.177	565.1429	99999	-9.489625	4.6385717	-1.2195127	-21.629248	9.465004	0.008729993	34551.42667746544
26	-26.028112	15.575795	-7.748	-60.694	414.44446	103999	-9.155566	4.626991	-0.87649333	-21.347466	9.125738	0.008701284	37067.98465299606
27	-18.985538	14.615844	-8.435	-64.621	314.6154	107999	-8.796803	4.59388	-0.79612154	-21.263142	8.768207	0.008820225	39535.88935518265
28	-28.864004	23.736645	-6.052	-68.897	425.4	111999	-8.531092	4.5805793	-0.5064896	-21.21861	8.504395	0.008208317	42439.630208969116
29	-14.586876	7.963533	-6.777	-38.289	242.375	115999	-8.292776	4.589425	2.2062721	-21.113626	8.264299	0.007882267	44398.88071322441
30	-18.602188	17.657463	-7.168	-85.453	255.8125	119999	-8.025552	4.595426	2.263305	-20.988905	7.999282	0.007402682	46348.24029755592
31	-16.832642	10.322021	-8.334	-48.39	271.0	123999	-7.822926	4.653027	1.1464654	-21.06555	7.79678	0.007717005	48297.273487091064
32	-12.01381	5.212238	-5.745	-21.091	197.2381	127999	-7.6058044	4.6820474	0.33989745	-21.04074	7.5771036	0.00811417	49647.13266634941
33	-15.213937	5.8783455	-6.205	-30.94	251.0	131999	-7.3770623	4.6740007	0.323563	-20.852345	7.3484354	0.0070330477	51281.2562892437
34	-20.63525	9.626012	-6.36	-48.137	336.66666	135999	-7.183958	4.6964545	0.43268776	-20.837826	7.157302	0.0071596024	53520.65799379349
35	-13.091437	5.3130417	-4.641	-25.567	235.5	139999	-7.012168	4.7055387	0.59338015	-20.702635	6.984572	0.0072117574	55573.131617069244
36	-14.660368	7.4191446	-3.573	-33.301	223.42105	143999	-6.807212	4.6699457	0.83111084	-20.581253	6.779215	0.0065974053	57059.304713726044
37	-15.1656885	5.387203	-7.577	-26.751	242.5	147999	-6.654415	4.637563	0.93785596	-20.50005	6.627663	0.0067914585	58726.30648064613
38	-17.846134	11.210111	-7.028	-55.467	278.06668	151999	-6.49095	4.5786605	0.98313725	-20.211252	6.463341	0.0067099286	60761.76702976227
39	-17.229666	7.771509	-4.476	-34.25	263.0	155999	-6.363201	4.518217	0.85409427	-20.06446	6.3360896	0.0063316408	62371.580426216125
40	-17.789669	3.7606397	-11.376	-24.745	269.53333	159999	-6.26642	4.4459405	0.8351103	-19.821247	6.241141	0.0066769295	63979.78144788742
41	-25.228214	38.196236	-8.482	-161.626	282.2143	163999	-6.2494392	4.4041295	0.73699504	-19.79655	6.2287636	0.0071585933	64967.1635556221
42	-13.318369	6.1320496	-5.617	-25.891	211.94737	167999	-6.214303	4.400293	0.51483554	-19.802586	6.1901126	0.007160656	66288.198417902
43	-13.213111	4.727334	-4.621	-22.561	213.38889	171999	-6.110005	4.367425	0.53057516	-19.793787	6.0861006	0.0067325085	67532.81670069695
44	-15.923	6.9637303	-6.091	-33.892	243.11765	175999	-6.037869	4.3554525	0.46591133	-19.778715	6.0144043	0.007647111	68927.88007831573
45	-21.339455	15.211921	-4.169	-49.768	324.9091	179999	-5.9530206	4.3228226	0.5070102	-19.747671	5.930402	0.017966915	71638.40297818184
46	-16.443058	14.753876	-4.87	-70.085	263.0	183999	-5.885194	4.2852674	0.29030082	-20.047295	5.8634787	0.0141215	74011.11143445969
47	-14.935399	6.868081	-5.963	-30.531	238.4	187999	-5.859122	4.29443	0.29721224	-20.586369	5.836939	0.02177109	75583.6934401989
48	-14.4643345	8.513787	-5.659	-37.082	257.6	191999	-5.785995	4.262315	0.057766974	-20.473904	5.764958	0.017391566	77839.7164311409
49	-14.5847645	9.895085	-4.383	-51.54	249.05882	195999	-5.7487063	4.2562704	0.02463279	-21.056335	5.7270274	0.020820577	79600.15745139122
50	-17.614	7.1252527	-6.401	-36.583	284.06668	199999	-5.698265	4.221662	0.10999417	-20.395687	5.6783085	0.014744887	81317.42487335205
51	-14.182647	3.219029	-8.436	-20.53	232.35294	203999	-5.667168	4.20184	0.1757878	-20.377205	5.646874	0.006691826	82642.93425989151
52	-12.843166	5.4525886	-3.222	-24.564	214.94444	207999	-5.6082206	4.175665	0.27469987	-20.780958	5.5870266	0.01896211	83993.3907828331
53	-15.839201	10.587792	-4.759	-47.963	274.66666	211999	-5.5587244	4.155317	0.24377267	-20.628843	5.539163	0.007087065	86342.55954146385
54	-13.844723	4.1664586	-6.887	-20.892	220.44444	215999	-5.4982343	4.119896	0.42879343	-20.700142	5.47803	0.014118055	87510.26360750198
55	-18.080402	16.322628	-5.549	-76.194	275.06668	219999	-5.4599524	4.096421	0.36217344	-20.701069	5.440391	0.017965045	89725.38931584358
56	-17.895332	17.66197	-5.871	-81.421	264.73334	223999	-5.42723	4.072703	0.4967479	-20.70173	5.4075	0.01710665	91743.00999641418
57	-12.531422	5.3842454	-3.402	-26.376	207.26315	227999	-5.3882375	4.0415382	0.43951672	-21.211468	5.3685675	0.017402373	93299.96382403374
58	-20.24457	18.29955	-5.059	-82.305	290.64285	231999	-5.3490124	4.009446	0.5010235	-20.751131	5.3297586	0.014034422	95438.06711053848
59	-16.906427	6.9772162	-5.564	-36.774	258.2143	235999	-5.3341475	4.008414	0.48868757	-20.70239	5.3146043	0.0150188925	97012.71032595634
60	-16.44806	9.308292	-3.877	-42.779	261.05884	239999	-5.2818537	3.9900427	0.4888076	-20.652866	5.264294	0.0068937223	98658.51547169685
61	-13.653889	3.1886117	-7.301	-20.944	219.88889	243999	-5.2473407	3.9720502	0.43256617	-20.577406	5.227428	0.017868629	99998.80894374847
62	-13.687187	5.304362	-5.464	-22.058	221.25	247999	-5.2075706	3.9539025	0.48203054	-20.429218	5.188898	0.01703644	101672.48529100418
63	-18.213066	16.25916	-6.98	-74.823	289.06668	251999	-5.184519	3.9217334	0.8783835	-20.404337	5.1656075	0.029316239	103971.24249243736
64	-26.237417	28.562094	-8.745	-118.178	334.58334	255999	-5.1784463	3.9149072	0.9246732	-20.433207	5.1617646	0.013077894	106313.07337546349
65	-14.776533	7.5597286	-4.509	-34.209	253.53334	259999	-5.1870737	3.9206345	0.8220584	-20.680334	5.1712656	0.0073156212	108494.72224903107
66	-21.409311	18.391407	-8.276	-81.691	331.92307	263999	-5.1974187	3.9407644	0.8128092	-20.7527	5.1822424	0.006429859	110840.73905611038
67	-17.322573	8.092604	-5.769	-35.652	272.7143	267999	-5.1958795	3.9451375	0.7491778	-20.811848	5.180041	0.010085416	112846.94500494003
68	-19.571499	16.701702	-5.984	-76.401	292.07144	271999	-5.1929655	3.9363198	0.6723013	-21.032635	5.1768737	0.012597011	115139.82261967659
69	-12.973803	4.233398	-5.303	-20.325	211.26666	275999	-5.152628	3.890205	0.59054875	-20.87076	5.136198	0.010964391	117406.91257762909
70	-16.687849	20.173994	-3.221	-99.287	240.3	279999	-5.1557837	3.86282	0.58297306	-20.826193	5.140206	0.011169843	118808.97850060463
