Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-112.2325	9.709499	-102.523	-121.942	1000.0	1999	1.5633855	0.49088997	2.3470497	0.2653566	-1.5643071	0.00041990317	60.174673318862915
2	-91.815	3.6049995	-88.21	-95.42	1000.0	3999	0.57864386	0.46175402	1.518754	-0.42433536	-0.57878727	9.0851216e-05	143.8734724521637
3	-104.387	1.5839996	-102.803	-105.971	1000.0	5999	-0.47289973	0.4038802	0.47779748	-1.3861938	0.47346678	8.144781e-05	224.2748191356659
4	-78.815	14.209	-64.606	-93.024	1000.0	7999	-1.4750214	0.37304902	-0.44454306	-2.2433567	1.4752593	6.566932e-05	305.32491183280945
5	-112.1425	14.433498	-97.709	-126.576	1000.0	9999	-2.3207388	0.38913536	-1.2278721	-3.223716	2.3213646	8.715238e-05	388.9071958065033
6	-116.66901	55.265003	-61.404	-171.934	1000.0	11999	-3.0933862	0.43719754	-1.9842376	-4.1404	3.0939736	0.00010990354	472.8842763900757
7	-188.01651	1.3115005	-186.705	-189.328	1000.0	13999	-3.77918	0.5339925	-2.4599905	-5.4188857	3.7808945	0.00014429231	558.7366650104523
8	-164.209	3.2460022	-160.963	-167.455	1000.0	15999	-4.536844	0.7526054	-2.85024	-7.093832	4.5392447	0.00021020984	642.3454468250275
9	-60.194	12.515999	-47.678	-72.71	1000.0	17999	-5.308863	1.0494286	-3.264491	-8.179318	5.311012	0.00023014161	725.3370833396912
10	-104.1835	36.0015	-68.182	-140.185	1000.0	19999	-5.8613544	1.2984837	-3.5758245	-9.211414	5.8632035	0.0003211996	809.8195185661316
11	-162.8705	15.042496	-147.828	-177.913	1000.0	21999	-6.500507	1.6179605	-3.897964	-10.596655	6.502102	0.00035613094	892.5766685009003
12	-152.754	24.962002	-127.792	-177.716	1000.0	23999	-7.1714725	1.9361478	-3.935746	-11.6447735	7.173215	0.00038261592	976.1752896308899
13	-141.397	69.701004	-71.696	-211.098	1000.0	25999	-7.8261876	2.2727182	-3.914725	-13.735663	7.8279634	0.00042702787	1058.5983414649963
14	-176.38599	28.486	-147.9	-204.872	1000.0	27999	-8.3688965	2.6341922	-3.8765194	-14.7986355	8.370834	0.0004607892	1141.2841804027557
15	-143.482	75.116005	-68.366	-218.598	1000.0	29999	-8.8410015	2.9226317	-3.7525983	-15.809396	8.842867	0.00054342207	1225.7997970581055
16	-58.9435	4.866501	-54.077	-63.81	1000.0	31999	-9.201762	3.285683	-3.7426438	-16.703611	9.203625	0.00054607773	1310.04252743721
17	-75.086	13.850998	-61.235	-88.937	1000.0	33999	-9.311932	3.5335815	-3.651889	-17.646322	9.311738	0.00068253645	1395.5923640727997
18	-105.533005	35.885	-69.648	-141.418	1000.0	35999	-9.271731	3.730111	-1.0072929	-17.769243	9.2542515	0.00056892063	1479.3044340610504
19	-79.0375	12.731499	-66.306	-91.769	1000.0	37999	-9.154704	3.8252783	-1.1870501	-17.977682	9.133774	0.0006795056	1564.017611026764
20	-89.8795	18.377502	-71.502	-108.257	1000.0	39999	-9.03437	3.9068005	-1.0566453	-18.223488	9.017242	0.00068020844	1649.3993983268738
21	-75.7625	18.2635	-57.499	-94.026	1000.0	41999	-8.861615	3.9706059	-1.1954279	-18.18237	8.841137	0.0006488533	1731.9972066879272
22	-115.541	26.373997	-89.167	-141.915	1000.0	43999	-8.738965	3.9185977	-1.6285021	-18.093033	8.716469	0.0006457896	1815.0608658790588
23	-86.8295	13.273499	-73.556	-100.103	1000.0	45999	-8.619473	3.8748972	-2.1556036	-18.058283	8.595077	0.0007224414	1897.30313205719
24	-95.39101	2.994999	-92.396	-98.386	1000.0	47999	-8.511495	3.8052669	-2.54418	-18.096962	8.489653	0.0006180267	1979.8639359474182
