Wall time,Step,Value
1639839933.1636114,0,-132.45899963378906
1639839959.3914826,1,-112.07875061035156
1639839982.3945222,2,-135.3612518310547
1639840003.532118,3,-133.8144989013672
1639840024.140372,4,-124.50724792480469
1639840044.4788074,5,-106.10675048828125
1639840065.4836094,6,-137.86575317382812
1639840085.6862574,7,-120.34174346923828
1639840106.2379434,8,-112.833251953125
1639840127.304184,9,-135.40374755859375
1639840149.520988,10,-97.31025695800781
1639840169.7919645,11,-101.7959976196289
1639840190.5492036,12,-110.01725006103516
1639840211.1330168,13,-121.8792495727539
1639840231.848484,14,-102.32475280761719
1639840252.4401975,15,-110.10350036621094
1639840273.4251847,16,-96.20074462890625
1639840294.1316886,17,-107.45549774169922
1639840314.9841092,18,-72.35699462890625
1639840335.5262556,19,-93.53924560546875
1639840356.4610217,20,-113.6729965209961
1639840377.9804761,21,-111.01749420166016
1639840399.8192272,22,-103.07875061035156
1639840420.88143,23,-73.04375457763672
1639840441.7725484,24,-99.52200317382812
1639840462.762729,25,-78.35299682617188
1639840483.354214,26,-95.28275299072266
1639840504.1478183,27,-82.47875213623047
1639840524.8562274,28,-76.43624877929688
1639840545.7791355,29,-93.87800598144531
1639840566.6355155,30,-92.916748046875
1639840587.1398463,31,-85.739501953125
1639840607.6719058,32,-105.78449249267578
1639840628.1107135,33,-73.77474975585938
1639840649.0811777,34,-93.06724548339844
1639840670.3094954,35,-84.73399353027344
1639840691.2054904,36,-59.81575012207031
1639840712.1358538,37,-99.97125244140625
1639840732.8893914,38,-87.11900329589844
1639840753.5743272,39,-57.127498626708984
1639840774.2170632,40,-88.07849884033203
1639840794.8897758,41,-93.39875030517578
1639840815.9914143,42,-85.13300323486328
1639840837.1716568,43,-92.82649993896484
1639840857.964638,44,-91.12849426269531
1639840878.992953,45,-79.88749694824219
1639840899.7839334,46,-78.45024871826172
1639840920.750525,47,-71.88525390625
1639840941.4329576,48,-85.03175354003906
1639840962.7088172,49,-85.32275390625
1639840983.976346,50,-73.03099822998047
1639841004.8552635,51,-75.0615005493164
1639841025.7534213,52,-65.18350219726562
1639841047.1301565,53,-88.06625366210938
1639841068.0691497,54,-71.72100067138672
1639841089.0154324,55,-79.22325134277344
1639841110.055624,56,-72.73550415039062
1639841130.8414114,57,-81.88850402832031
1639841152.704508,58,-58.87425231933594
1639841173.8482506,59,-74.55299377441406
1639841194.9463782,60,-64.38424682617188
1639841215.9071488,61,-66.1510009765625
1639841236.9436076,62,-76.8915023803711
1639841258.035911,63,-66.11624908447266
1639841278.6986148,64,-71.46900177001953
1639841300.661908,65,-68.98725128173828
1639841321.2451005,66,-67.58924865722656
1639841342.389491,67,-60.29975128173828
1639841363.6401107,68,-66.249755859375
1639841384.789504,69,-58.939247131347656
1639841406.230287,70,-59.42200469970703
1639841427.2476954,71,-66.06950378417969
1639841448.4080384,72,-56.10199737548828
1639841469.1648915,73,-63.298248291015625
1639841490.1115603,74,-61.97074890136719
1639841511.160741,75,-58.938499450683594
1639841532.3406477,76,-60.15025329589844
1639841553.8080359,77,-54.76525115966797
1639841574.4203677,78,-61.93424987792969
1639841595.8980908,79,-56.006752014160156
1639841617.92113,80,-50.77450180053711
1639841638.945379,81,-47.708499908447266
1639841660.0225277,82,-59.82625198364258
1639841681.2237558,83,-46.153751373291016
1639841702.498188,84,-43.28849792480469
1639841723.8881319,85,-50.47074890136719
1639841745.128593,86,-63.055999755859375
1639841766.2699,87,-49.701751708984375
1639841787.267747,88,-48.51649856567383
1639841808.1653097,89,-53.28624725341797
1639841829.20125,90,-56.33649826049805
1639841851.049047,91,-46.67675018310547
1639841872.1358502,92,-63.90250015258789
1639841892.9726954,93,-52.06974792480469
1639841914.4029572,94,-52.772247314453125
1639841935.5823631,95,-58.681251525878906
1639841957.0186605,96,-69.86399841308594
1639841977.755865,97,-60.00625228881836
1639841999.375267,98,-39.30249786376953
1639842020.7245548,99,-62.49224853515625
1639842042.0672743,100,-63.89775085449219
1639842064.7202914,101,-45.635498046875
1639842086.3910942,102,-54.31475067138672
1639842108.4863906,103,-39.01774978637695
1639842129.6953251,104,-51.03799819946289
1639842151.0733998,105,-54.76124954223633
1639842171.9757068,106,-56.34149932861328
1639842194.0309412,107,-58.75100326538086
1639842215.0951102,108,-63.35624694824219
1639842236.2733727,109,-57.322998046875
1639842257.3954828,110,-63.82475280761719
1639842278.9540615,111,-31.761001586914062
1639842300.49714,112,-40.934749603271484
1639842321.507442,113,-52.615501403808594
1639842342.9032855,114,-53.37324905395508
1639842363.5149944,115,-44.09175109863281
1639842384.857357,116,-60.03099822998047
1639842405.611208,117,-54.269752502441406
1639842426.6819227,118,-53.58150100708008
1639842448.294959,119,-51.3432502746582
1639842470.315028,120,-24.658248901367188
1639842491.9821234,121,-42.240501403808594
1639842513.6463435,122,-62.488746643066406
1639842534.6970165,123,-53.25225067138672
1639842556.288868,124,-34.876251220703125
1639842577.6461842,125,-43.91999816894531
