Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-127.459	15.448906	-102.539	-142.432	1000.0	0.3820138	0.010204364	0.3897279	0.3614021	4000	-4.172325e-07	152.9749	-0.0053467136	-113.9954	0.918938	0.0027738763	0.0465	49.0	31.077051401138306
1	-107.0885	9.798404	-97.243	-123.041	1000.0	-6.2309847	0.013572968	-6.2109737	-6.249682	8000	4.4703484e-08	20.32757	-0.005017275	-14.433304	0.91747975	0.008990701	0.0655	49.0	56.71869969367981
2	-130.86674	25.275183	-91.146	-159.055	1000.0	-8.491508	0.1617919	-8.222135	-8.624029	12000	5.9604645e-08	28.160189	-0.004336383	-16.45222	0.91376036	0.005683859	0.04175	49.0	79.25919008255005
3	-127.70925	21.17109	-91.532	-144.977	1000.0	-11.015118	0.0042922515	-11.008567	-11.019045	16000	-2.9802322e-08	9.484093	-0.004521489	-3.0841582	0.904705	0.0038995193	0.037	49.0	101.67559885978699
4	-115.75325	27.47939	-76.964	-151.852	1000.0	-12.254314	0.0065271677	-12.247206	-12.264171	20000	-1.1920929e-07	8.683139	-0.0036203861	-0.15130657	0.89746165	0.0036411504	0.037	49.0	124.95114517211914
5	-101.11075	39.77636	-60.064	-166.531	1000.0	-12.01755	0.037886355	-11.95144	-12.042693	24000	5.9604645e-08	20.195337	-0.005916588	-3.9909725	0.88838345	0.0056718085	0.05975	49.0	146.2672724723816
6	-133.384	30.669619	-93.298	-170.668	1000.0	-10.854094	0.036699258	-10.797999	-10.890292	28000	1.4901161e-08	17.477177	-0.0037092492	-6.1429024	0.8841915	0.008388316	0.058000002	49.0	167.3765366077423
7	-115.1895	25.803324	-97.468	-159.638	1000.0	-12.344585	0.47163475	-11.519381	-12.659836	32000	0.0	6.624127	-0.0026371777	-3.6436548	0.8843469	0.015263112	0.134	5.0	190.5190703868866
8	-106.77525	27.266544	-69.528	-144.875	1000.0	-11.169279	1.2193078	-10.047251	-13.229609	36000	7.450581e-09	4.3815746	-0.0059921145	-2.4536283	0.88489354	0.006440425	0.08025	49.0	212.59650945663452
9	-126.514244	16.182995	-105.788	-150.124	1000.0	-11.658481	2.1837296	-8.418987	-13.719593	40000	-5.9604645e-08	7.17516	-0.0037069768	-4.753373	0.88158196	0.0058644195	0.04975	49.0	232.99832797050476
10	-88.784256	21.90087	-68.2	-121.483	1000.0	-11.235385	1.4164491	-10.115802	-13.67872	44000	-4.4703484e-08	6.882804	-0.0038967282	-5.0627546	0.87988454	0.0041320114	0.04625	49.0	253.58777809143066
11	-96.0515	25.23911	-55.908	-125.699	1000.0	-12.691768	0.87521416	-11.061217	-13.283975	48000	-7.4505806e-08	15.964675	-0.006325557	-14.049185	0.88733196	0.013470087	0.110750005	49.0	273.84668827056885
12	-99.548004	17.318125	-70.852	-113.748	1000.0	-10.511191	1.7640877	-7.2417765	-11.831518	52000	-2.2351742e-08	1.6451002	-0.005329542	-0.40698692	0.8884895	0.009556545	0.053999998	49.0	294.27249574661255
13	-113.83	19.55638	-84.639	-136.785	1000.0	-11.033501	0.15469088	-10.700257	-11.1364765	56000	3.7252903e-08	5.269383	-0.003477607	-2.8084223	0.87497973	0.0077539315	0.05175	49.0	314.91180300712585
14	-101.29025	15.524804	-77.619	-119.666	1000.0	-10.175856	2.246071	-5.969625	-12.3390875	60000	2.9802322e-08	1.671982	-0.004864917	-0.6194431	0.8742171	0.005155367	0.06175	49.0	335.07596921920776
15	-105.56175	19.714628	-73.054	-125.397	1000.0	-10.939053	1.3092304	-8.624708	-12.286939	64000	1.4901161e-08	2.3214936	-0.0032294355	-1.0642372	0.8785491	0.0037553352	0.0365	49.0	355.543331861496
16	-93.56525	28.455204	-68.061	-137.285	1000.0	-9.236898	2.9189446	-5.3622212	-12.478084	68000	-5.9604645e-08	3.6810536	-0.0055269543	-2.0846472	0.87989056	0.0057400665	0.061750002	49.0	376.0432698726654
17	-101.137	21.840082	-81.431	-137.804	1000.0	-10.713776	2.0897377	-6.8559575	-12.362461	72000	-1.4901161e-08	4.3671713	-0.005067557	-2.546115	0.8755798	0.0077114254	0.0755	49.0	396.6600067615509
18	-70.557	10.994346	-56.923	-82.696	1000.0	-7.5250187	1.12398	-6.362796	-9.628398	76000	-1.8626451e-08	1.7243096	-0.004331108	-0.9310435	0.87320906	0.0073403744	0.05025	49.0	416.92410588264465
19	-91.92475	11.173967	-76.762	-108.297	1000.0	-8.4021	1.3312428	-6.4632277	-10.439843	80000	7.450581e-09	2.331604	-0.005158591	-1.8187141	0.8616729	0.005689827	0.059750002	49.0	437.40913581848145
20	-106.697754	18.062803	-91.306	-137.464	1000.0	-10.818001	1.1909511	-9.454157	-12.74892	84000	1.4901161e-08	1.9822497	-0.0031403452	-1.2529073	0.8481928	0.006872975	0.04625	49.0	458.27423119544983
21	-98.98775	31.806168	-55.938	-135.535	1000.0	-9.980806	3.5560825	-5.2013097	-13.641196	88000	4.4703484e-08	1.0253808	-0.0034574494	-0.54597664	0.84265655	0.0026512784	0.01675	49.0	478.74700903892517
22	-101.17825	14.413265	-78.092	-117.787	1000.0	-9.324598	2.114871	-5.1808248	-12.191625	92000	2.9802322e-08	2.5316253	-0.0059898794	-2.0741746	0.836343	0.006386701	0.07525	49.0	499.5499429702759
23	-66.09525	8.704263	-54.767	-75.115	1000.0	-8.416461	1.58442	-6.8010654	-11.206668	96000	2.9802322e-08	4.8546925	-0.0048905816	-4.1311135	0.83964396	0.006506397	0.05225	49.0	520.6504168510437
24	-95.182755	8.042175	-82.719	-104.469	1000.0	-7.8454347	0.93318284	-5.72001	-9.011575	100000	2.9802322e-08	4.319734	-0.0053367764	-3.3269796	0.8376273	0.0045759245	0.04575	49.0	541.0724239349365
25	-76.65075	22.378872	-45.143	-107.446	1000.0	-7.803817	0.9460738	-5.5437994	-8.559118	104000	-2.9802322e-08	2.6073885	-0.006416455	-2.1805668	0.8358515	0.010928643	0.062	49.0	562.0159342288971
26	-90.32325	25.713825	-49.477	-114.068	1000.0	-7.3062587	1.2595558	-5.1296625	-8.903033	108000	0.0	6.453088	-0.0039107352	-5.62369	0.8484374	0.0053333365	0.05125	49.0	582.749892950058
27	-80.293	16.573124	-60.037	-106.193	1000.0	-9.984202	1.7274956	-6.9022574	-11.743212	112000	1.4901161e-07	4.231549	-0.0034948662	-3.8210251	0.85111785	0.0032672733	0.054500002	49.0	603.1632273197174
28	-58.9095	7.67018	-51.241	-70.516	1000.0	-6.2070594	0.51096535	-4.9258447	-7.0022388	116000	-3.7252903e-08	2.4132516	-0.001996967	-0.9837005	0.8519719	0.0028609904	0.028	49.0	623.3096673488617
29	-80.020996	37.624264	-33.293	-134.137	1000.0	-7.27162	1.7059778	-5.319898	-9.330004	120000	-1.1920929e-07	6.3237343	-0.005347356	-5.2043495	0.84621084	0.007477484	0.05775	49.0	643.6827962398529
30	-85.14675	29.14098	-38.282	-114.843	1000.0	-9.474108	3.4139988	-4.108298	-13.341861	124000	5.9604645e-08	5.143879	-0.004432331	-4.2308073	0.85352045	0.003427221	0.05875	49.0	664.5195186138153
31	-71.294754	25.523026	-42.747	-100.821	1000.0	-6.8226514	3.9255872	-1.7232338	-11.594126	128000	-2.9802322e-08	2.296469	-0.003813371	-1.4130025	0.85395604	0.0044762795	0.0625	49.0	684.6806993484497
32	-96.634995	30.609734	-56.947	-130.128	1000.0	-9.354703	2.9581647	-5.8048835	-12.536008	132000	-5.5879354e-08	1.0522633	-0.0040198267	-0.5830748	0.85566497	0.0015185197	0.052249998	49.0	705.212340593338
33	-60.394753	18.298243	-38.564	-80.057	1000.0	-6.2617354	2.206783	-3.8442457	-9.490493	136000	-4.4703484e-08	1.663425	-0.006040151	-0.8477648	0.8527438	0.008820854	0.09	49.0	725.3169441223145
34	-85.55925	18.269293	-55.548	-104.8	1000.0	-7.421024	2.768555	-3.70432	-11.988533	140000	-2.9802322e-08	3.3453593	-0.0076414384	-2.323857	0.8540717	0.006175533	0.076	49.0	745.7040042877197
35	-77.630005	4.02762	-72.579	-83.832	1000.0	-8.207443	0.5247938	-7.2410007	-8.77807	144000	0.0	0.8462245	-0.0052117594	-0.49896532	0.85310376	0.0058824243	0.043500002	49.0	766.246223449707
36	-59.938496	11.601938	-45.388	-75.504	1000.0	-6.9368877	0.8081756	-5.16732	-7.93609	148000	-1.0430813e-07	2.1699548	-0.0038766912	-1.618325	0.8531132	0.0041388893	0.03325	49.0	786.8981189727783
37	-97.90525	31.321308	-44.244	-120.939	1000.0	-8.3520155	2.0997753	-4.710974	-10.209359	152000	1.4901161e-08	3.9386563	-0.0053041205	-3.181377	0.8496368	0.0073288903	0.064	49.0	807.5287420749664
38	-72.71075	35.590797	-31.271	-112.909	1000.0	-7.195977	2.8474221	-4.296265	-11.969818	156000	0.0	2.4096336	-0.006456798	-1.7547488	0.8430761	0.005830183	0.0675	49.0	827.8078725337982
39	-38.32225	8.012627	-28.04	-50.451	922.25	-4.596966	1.1498725	-3.544796	-8.106831	160000	1.6763806e-08	2.5511243	-0.0029113172	-0.45494977	0.83918744	0.004582158	0.035499997	49.0	848.3050763607025
40	-78.69425	20.195957	-52.262	-108.145	1000.0	-7.430944	2.3798652	-3.3497176	-9.339233	164000	-2.9802322e-08	6.7339034	-0.002526259	-5.6787806	0.83664703	0.003456958	0.04825	49.0	869.0172538757324
41	-76.897	6.991173	-68.638	-87.998	1000.0	-9.016143	1.4104656	-6.644226	-10.580416	168000	-2.9802322e-08	3.2338657	-0.007758163	-2.8764548	0.8415587	0.008405307	0.05275	49.0	889.5195953845978
42	-80.10175	8.42969	-73.029	-94.139	1000.0	-7.2245355	1.4740425	-5.156181	-9.8069935	172000	-2.9802322e-08	1.364099	-0.0071582086	-0.718135	0.8546619	0.008505881	0.0765	49.0	909.732483625412
43	-76.503	19.859118	-54.253	-102.051	1000.0	-7.7201786	1.0245914	-6.6078534	-9.72558	176000	4.4703484e-08	1.9278922	-0.0038820952	-1.138037	0.8478626	0.0041412325	0.05375	49.0	930.5334477424622
44	-72.3985	15.0677595	-55.266	-96.406	1000.0	-8.374689	1.8712571	-5.4599185	-11.100141	180000	4.4703484e-08	3.011805	-0.006219225	-2.2394829	0.84396744	0.009503545	0.07575	49.0	950.8208928108215
45	-59.63875	13.582352	-37.659	-74.147	1000.0	-5.483993	0.47287217	-5.058581	-6.434044	184000	1.4901161e-08	2.5746503	-0.0038444586	-0.77496004	0.8359082	0.004369083	0.0435	49.0	971.3039736747742
46	-67.62425	20.099993	-38.773	-87.746	1000.0	-7.0332747	1.646518	-4.2796454	-9.263337	188000	5.9604645e-08	1.5946792	-0.004510682	-1.0499699	0.8393912	0.006908754	0.047500003	49.0	991.7872400283813
47	-49.64675	28.325909	-21.988	-95.973	870.25	-6.0845838	2.7341707	-3.4857075	-11.054268	192000	3.5390258e-08	2.8081377	-0.00289601	-1.1546236	0.83719075	0.0035521851	0.030249998	49.0	1012.8379056453705
48	-65.232	33.2557	-18.385	-108.478	871.5	-6.2430263	3.1637337	-3.676235	-11.668537	196000	0.0	2.6873631	-0.005406119	-1.139265	0.841301	0.0070846104	0.082499996	49.0	1033.5872032642365
49	-61.347	30.78928	-35.48	-111.46	1000.0	-6.8682904	2.6108873	-4.651623	-11.503679	200000	-5.9604645e-08	3.5480525	-0.004983034	-2.3195205	0.8507884	0.010085609	0.0705	49.0	1054.4664871692657
50	-76.33125	15.973055	-49.565	-88.597	1000.0	-5.6131964	1.0746878	-4.4256563	-7.383646	204000	5.9604645e-08	5.233333	-0.005050067	-4.4586806	0.8500123	0.0035839258	0.0685	49.0	1075.1555500030518
51	-54.83125	11.102294	-44.149	-73.34	1000.0	-5.037503	0.33131862	-4.5246844	-5.7633944	208000	2.9802322e-08	2.2511935	-0.005637832	-0.9463773	0.8516794	0.0065642	0.073249996	49.0	1095.9500465393066
52	-71.56375	25.500027	-33.893	-105.784	924.25	-8.71651	2.0081513	-5.5706444	-11.800578	212000	1.8626451e-08	2.9801211	-0.0040497854	-1.8798805	0.8495827	0.005727409	0.06175	49.0	1116.8467903137207
53	-79.27475	29.927914	-39.398	-121.242	1000.0	-7.2795334	2.364432	-4.8089085	-11.281544	216000	2.9802322e-08	1.924691	-0.003061885	-1.325911	0.8452893	0.0060790246	0.058	49.0	1137.4655067920685
54	-70.0565	22.523645	-37.75	-94.874	1000.0	-6.2753167	2.2918558	-3.561419	-10.50502	220000	-2.9802322e-08	2.5420942	-0.0026235543	-1.2406043	0.8516207	0.0042848	0.028749999	49.0	1158.2236025333405
55	-85.41175	9.444397	-70.119	-95.577	1000.0	-7.9373527	2.4947202	-5.1049323	-12.132784	224000	-2.9802322e-08	4.1328583	-0.0065136254	-3.4896762	0.85743773	0.0058535165	0.05575	49.0	1178.5919404029846
56	-54.4575	12.825953	-32.465	-64.737	1000.0	-5.505136	1.0376148	-4.1531744	-7.1264105	228000	0.0	1.5081216	-0.005642269	-0.8796499	0.857766	0.0033575478	0.0705	49.0	1199.5788617134094
57	-55.63875	20.060318	-28.982	-81.323	1000.0	-5.504387	1.1100032	-3.942312	-7.679373	232000	1.4901161e-08	2.6667392	-0.0064813346	-1.3554926	0.8550967	0.0064402185	0.08325	49.0	1220.2620980739594
58	-68.95375	25.734768	-31.376	-103.578	1000.0	-6.526596	1.7094902	-4.9869437	-9.919416	236000	1.4901161e-08	2.8441484	-0.0062474236	-2.2964218	0.86087304	0.007592531	0.06875	49.0	1240.7907240390778
