Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-541.74	0.0	-541.74	-541.74	1000.0	0.29445872	0.00022752665	0.29469615	0.2933574	1000	8.6212157e-07	2533.1943	-0.0064329184	-800.1714	0.918938	0.01655726	0.267	3.0	16.161179780960083
1	-569.33	0.0	-569.33	-569.33	1000.0	-8.733691	6.904938e-05	-8.733532	-8.73375	2000	1.7261505e-07	2019.3201	-0.005863902	-452.98926	0.91895217	0.004563304	0.072	79.0	31.13266348838806
2	-549.73	0.0	-549.73	-549.73	1000.0	-14.294717	3.0489895e-05	-14.29465	-14.294744	3000	9.536743e-08	1425.4963	-0.0042864447	-325.24976	0.9005787	0.00060173013	0.054	79.0	46.44630146026611
3	-413.27	0.0	-413.27	-413.27	1000.0	-19.060965	1.7643748e-05	-19.060928	-19.06098	4000	1.08242034e-07	406.4909	-0.0066797114	-101.827515	0.9109236	0.0011557958	0.057	79.0	61.42329478263855
4	-579.53	0.0	-579.53	-579.53	1000.0	-21.941628	1.3716608e-05	-21.941595	-21.941639	5000	7.586479e-07	1137.1692	-0.0057279593	-280.50616	0.9056927	-0.0014162472	0.03	79.0	76.47286939620972
5	-537.9	0.0	-537.9	-537.9	1000.0	-26.570368	1.0557653e-05	-26.570343	-26.570375	6000	1.0204315e-07	638.4124	-0.0022615313	-173.99786	0.90719855	0.01757777	0.265	4.0	91.16422510147095
6	-454.56	0.0	-454.56	-454.56	1000.0	-30.429773	6.747271e-06	-30.429758	-30.429781	7000	3.2949447e-07	185.23845	-0.0038598843	-54.965805	0.9073803	0.002813267	0.042	79.0	105.98835825920105
7	-417.07	0.0	-417.07	-417.07	1000.0	-32.730114	6.185223e-06	-32.730103	-32.73012	8000	9.274483e-08	64.51202	-0.00134388	-20.210686	0.9058523	0.016119946	0.169	4.0	120.76256203651428
8	-591.13	0.0	-591.13	-591.13	1000.0	-34.171078	6.3248094e-06	-34.171062	-34.171085	9000	1.1634827e-07	558.83374	-0.0009672794	-165.64484	0.9058392	0.024178714	0.262	3.0	134.94811367988586
9	-440.65	0.0	-440.65	-440.65	1000.0	-38.139988	6.9370876e-06	-38.139977	-38.139996	10000	1.5878678e-07	32.446133	-0.0020364872	-9.778584	0.9056309	0.004396002	0.016	79.0	149.97569012641907
10	-506.81	0.0	-506.81	-506.81	1000.0	-39.345516	9.458603e-06	-39.345497	-39.34552	11000	3.9958954e-07	117.45518	-0.0057345773	-38.555847	0.91198725	0.0032296388	0.042	79.0	165.41566228866577
11	-554.61	0.0	-554.61	-554.61	1000.0	-41.385437	7.3019323e-06	-41.38543	-41.38545	12000	-4.3821336e-07	178.47917	-0.0069659646	-63.16501	0.92566526	0.005386557	0.044	79.0	180.4587802886963
12	-487.95	0.0	-487.95	-487.95	1000.0	-44.118977	4.3777704e-06	-44.11897	-44.118984	13000	-2.6154518e-07	22.653738	-0.004655006	-9.152602	0.9337532	0.02359684	0.271	3.0	195.19831371307373
13	-465.98	0.0	-465.98	-465.98	1000.0	-45.28892	6.3763664e-06	-45.28891	-45.28892	14000	1.00672246e-07	2.424913	-0.005918226	-0.59690666	0.93362075	0.005391141	0.056	79.0	210.4980504512787
14	-447.67	0.0	-447.67	-447.67	1000.0	-45.60957	6.401421e-06	-45.60957	-45.60958	15000	-9.417534e-09	3.3275564	-0.004058104	-0.25667548	0.9482012	0.004625162	0.03	79.0	225.671071767807
15	-499.19	0.0	-499.19	-499.19	1000.0	-45.437374	4.0586656e-06	-45.437366	-45.437378	16000	-2.0647049e-07	20.456083	-0.0034866654	-7.7807455	0.95208913	0.001368979	0.024	79.0	241.02191066741943
16	-467.0	0.0	-467.0	-467.0	1000.0	-46.46374	6.482741e-06	-46.46373	-46.46374	17000	4.0411948e-08	0.50030756	-0.0055720937	-0.09804699	0.9505192	0.0073205554	0.04	79.0	256.56704449653625
17	-495.38	0.0	-495.38	-495.38	1000.0	-46.648087	6.1604705e-06	-46.64808	-46.648094	18000	8.547306e-08	9.445527	-0.006818155	-3.2165732	0.96207607	0.0067414367	0.061	79.0	271.4434688091278
18	-381.05	0.0	-381.05	-381.05	1000.0	-47.354725	5.3050358e-06	-47.354713	-47.35473	19000	-1.9073487e-09	91.087234	-0.0045331526	-36.563602	0.9505969	0.0060172547	0.047	79.0	286.6645452976227
19	-503.89	0.0	-503.89	-503.89	1000.0	-44.96374	5.0980116e-06	-44.96373	-44.963745	20000	-1.335144e-07	28.406448	-0.0037138008	-11.354149	0.9449593	0.01782215	0.171	3.0	301.05548787117004
20	-445.81	0.0	-445.81	-445.81	1000.0	-46.231087	7.02878e-06	-46.231087	-46.231094	21000	8.46386e-09	3.4374213	-0.0073292064	-0.93961644	0.94486654	0.0036967837	0.03	79.0	316.25892186164856
21	-506.16	0.0	-506.16	-506.16	1000.0	-45.89098	6.233267e-06	-45.89097	-45.890976	22000	-9.298324e-08	19.509771	0.0067750495	-9.315101	0.94991505	0.018345764	0.326	2.0	330.24862337112427
22	-447.02	0.0	-447.02	-447.02	1000.0	-47.1785	2.9026812e-06	-47.178497	-47.178505	23000	-1.8119811e-08	9.0299015	-0.0037637495	-3.2830844	0.94987893	0.017724482	0.179	7.0	345.09734177589417
23	-572.75	0.0	-572.75	-572.75	1000.0	-46.440857	6.823938e-06	-46.440845	-46.440853	24000	-5.912781e-07	111.585045	-0.0134598445	-56.527454	0.9496843	0.010668203	0.095	79.0	360.5061569213867
24	-543.76	0.0	-543.76	-543.76	1000.0	-49.760254	4.507158e-06	-49.760246	-49.760254	25000	5.8054923e-08	28.208815	8.048487e-05	-14.169003	0.95262176	0.019708073	0.153	2.0	374.7809624671936
25	-560.22	0.0	-560.22	-560.22	1000.0	-51.630264	1.0605956e-05	-51.630272	-51.63028	26000	-9.775162e-08	26.000532	-0.0008621599	-12.607584	0.95249164	0.015544993	0.214	4.0	389.39654183387756
26	-609.13	0.0	-609.13	-609.13	1000.0	-53.34553	6.4002847e-06	-53.345528	-53.34554	27000	-1.2826919e-07	60.660107	-0.006479957	-33.355637	0.9518747	0.0015932873	0.045	79.0	404.81662917137146
27	-605.49	0.0	-605.49	-605.49	1000.0	-56.14236	4.726224e-06	-56.14236	-56.14237	28000	-1.4615058e-07	24.190092	-0.0062039965	-13.324327	0.93497247	0.0037376818	0.039	79.0	420.21329259872437
28	-451.22	0.0	-451.22	-451.22	1000.0	-58.01439	8.083199e-06	-58.014378	-58.01438	29000	3.8528444e-07	146.40227	-0.006612549	-82.40486	0.91224545	0.0051417905	0.059	79.0	435.8843080997467
29	-532.6	0.0	-532.6	-532.6	1000.0	-53.673416	9.210737e-06	-53.673424	-53.673428	30000	2.3543835e-08	1.4998527	-0.0016545464	-0.050610542	0.9077541	0.018029107	0.177	3.0	449.7852463722229
30	-473.1	0.0	-473.1	-473.1	1000.0	-53.26855	3.822319e-06	-53.268543	-53.26855	31000	-2.1672248e-07	32.6988	0.00097486423	-17.543705	0.90759414	0.019488491	0.222	3.0	464.22540378570557
31	-460.18	0.0	-460.18	-460.18	1000.0	-51.16779	5.5253886e-06	-51.16779	-51.167797	32000	4.1007997e-08	26.201754	-0.006486127	-16.424515	0.90743417	0.005910364	0.058	79.0	479.4907431602478
32	-527.98	0.0	-527.98	-527.98	1000.0	-49.00878	6.850542e-06	-49.00877	-49.00878	33000	0.0	19.010769	-0.0074352855	-8.780742	0.91355735	0.0025607708	0.051	79.0	494.69085693359375
33	-470.02	0.0	-470.02	-470.02	1000.0	-50.479904	6.3843495e-06	-50.479893	-50.4799	34000	1.654625e-07	10.627575	-0.0023939284	-6.1336193	0.90807945	0.015792964	0.151	5.0	509.26049876213074
34	-479.36	0.0	-479.36	-479.36	1000.0	-49.226192	3.2480978e-06	-49.226185	-49.226192	35000	7.110834e-08	2.684359	-0.001900513	-1.0042564	0.9077988	0.017270237	0.185	2.0	523.4024224281311
