Wall time,Step,Value
1639897641.3679552,0,-115.90399932861328
1639897661.4148622,1,-98.45249938964844
1639898664.7112184,2,-94.22799682617188
1639898702.2470584,3,-85.08550262451172
1639899327.9525156,4,-88.19725036621094
1639899365.235204,5,-91.0582504272461
1639899401.6188867,6,-89.75325012207031
1639900202.5300248,7,-87.74600219726562
1639901605.162229,8,-71.72875213623047
1639901639.76614,9,-96.33749389648438
1639902477.4098635,10,-63.527748107910156
1639903144.3125298,11,-65.70650482177734
1639903180.8728154,12,-82.94325256347656
1639904508.4062924,13,-34.66899871826172
1639905207.509213,14,-52.876251220703125
1639905616.415548,15,-45.632999420166016
1639906300.6662626,16,-49.36825180053711
1639907379.9242141,17,-51.124752044677734
1639908641.9023,18,-50.50800323486328
1639909726.4119194,19,-41.10260009765625
1639910904.6102166,20,-39.43339920043945
1639911501.3165803,21,-37.826751708984375
1639912827.4589217,22,-67.63949584960938
1639913925.896402,23,-46.282249450683594
1639914977.8089767,24,-58.02000045776367
1639915965.083008,25,-70.65800476074219
1639916792.046866,26,-33.77975082397461
1639917778.9672601,27,-37.629600524902344
1639918908.1583657,28,-60.782249450683594
1639920143.068394,29,-39.084999084472656
1639921063.484461,30,-79.18550109863281
1639921769.7744498,31,-55.095001220703125
1639923004.6695535,32,-58.77775192260742
1639924045.1914098,33,-37.0827522277832
1639925505.846613,34,-42.51750183105469
1639926694.6165025,35,-63.93659591674805
1639927534.9355593,36,-28.39983367919922
1639928874.023324,37,-58.547000885009766
1639929370.287906,38,-37.8668327331543
1639931082.6715944,39,-24.31599998474121
1639932139.641025,40,-53.407203674316406
1639933784.5302885,41,-64.58525085449219
1639934742.6138372,42,-38.49916458129883
1639936431.7068233,43,-28.264001846313477
1639937001.4525087,44,-42.68360137939453
1639938546.3524766,45,-43.33566665649414
1639939953.7396932,46,-48.57200241088867
1639940967.2588274,47,-54.97549819946289
1639942258.5380921,48,-40.090999603271484
1639943561.6342487,49,-65.60560607910156
1639945058.8314886,50,-66.53274536132812
1639946335.3685203,51,-33.19712448120117
1639946494.0556073,52,-55.26799774169922
1639947140.339252,53,-30.385997772216797
1639948571.9760394,54,-46.696197509765625
1639949613.830131,55,-17.56281852722168
1639950036.6923628,56,-41.46366882324219
1639951155.4086206,57,-36.58250045776367
1639952414.816272,58,-38.09333419799805
1639953883.3026917,59,-56.06575012207031
1639954213.2067416,60,-50.1515007019043
1639954569.2897604,61,-72.79550170898438
1639955898.3420064,62,-25.464000701904297
1639957412.7127464,63,-32.15566635131836
1639958882.5933068,64,-24.5887508392334
1639959523.070461,65,-41.05440139770508
1639960373.3511705,66,-30.362201690673828
1639961088.2101526,67,-27.968164443969727
1639961528.2930706,68,-26.561445236206055
1639962617.4262269,69,-29.865875244140625
1639964077.9553342,70,-20.834667205810547
