Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-128.6175	44.18719	-64.004	-175.097	1000.0	-0.050743293	0.059008848	0.008031517	-0.13073558	4000	8.940697e-08	164.71034	0.09275465	-151.75058	0.918938	0.1308881	0.70225	1.0	41.188546895980835
1	-134.295	16.209797	-112.454	-151.551	1000.0	-13.728115	0.23203942	-13.326616	-13.8784895	8000	-3.7252903e-08	4.995662	0.06606882	-1.7102301	0.9188392	0.08447995	0.61450005	1.0	70.75658392906189
2	-111.802	12.479575	-99.124	-128.046	1000.0	-11.302137	2.005861	-8.70006	-14.346151	12000	0.0	3.9907763	0.06320649	-2.960867	0.9188152	0.10031156	0.64275	1.0	104.58591985702515
3	-113.26225	13.077914	-95.98	-126.904	1000.0	-11.173976	1.0919656	-9.523983	-12.263033	16000	2.9802322e-08	5.669823	0.08181639	-4.578247	0.9188471	0.09824914	0.6545	1.0	141.380268573761
4	-57.63375	26.587694	-36.275	-102.244	747.25	-10.314278	1.2180202	-8.077235	-12.190463	20000	2.9802322e-08	11.231707	0.016195303	-9.186623	0.91883284	0.026014576	0.34974998	1.0	1314.7897779941559
5	-70.2	48.275604	-14.948	-155.502	735.4	-7.6397552	2.6972861	-5.6033287	-12.214428	24000	1.4901161e-08	7.2517424	0.015898855	-4.444915	0.91882974	0.028021092	0.42	1.0	1942.5389504432678
6	-160.76901	8.849726	-146.397	-168.812	1000.0	-15.4958725	0.12149708	-15.282579	-15.609858	28000	0.0	9.723116	0.007226847	-1.2319748	0.9188226	0.01541274	0.25325	3.0	1972.3876276016235
7	-69.440506	35.684994	-14.124	-109.197	806.25	-10.687601	3.2663038	-6.976622	-16.463276	32000	-1.1175871e-08	5.434827	-0.0051122373	-1.3941125	0.9190039	0.0068496712	0.053999998	39.0	3549.4559881687164
8	-46.7346	41.227905	-15.054	-117.322	527.8	-9.27487	3.5950878	-4.7910423	-15.824252	36000	2.2351742e-08	5.5431833	-0.007177435	-1.805541	0.9192552	0.007265307	0.058	39.0	4936.328577756882
9	-105.654495	51.95543	-17.398	-147.341	799.5	-12.8859825	2.3973303	-3.108409	-14.230446	40000	-1.1175871e-08	6.239954	0.0032086866	-1.6155167	0.9186232	0.019334769	0.239	2.0	6223.3981103897095
10	-56.2188	48.27099	-14.341	-119.859	554.8	-10.107789	4.162849	-4.5128636	-14.507311	44000	2.9802322e-08	10.425577	0.004317701	-7.146549	0.9185435	0.016965255	0.25475	6.0	7906.6284165382385
11	-64.8855	49.755276	-13.631	-121.714	632.75	-9.676327	3.5208366	-3.3390398	-12.559883	48000	0.0	4.8735623	-0.0074897856	-1.9753938	0.91826075	0.008566517	0.1055	39.0	9458.062787294388
12	-36.707	43.531265	-6.722	-123.153	412.0	-8.470082	3.3176708	-2.7703738	-11.895343	52000	-7.450581e-09	4.334946	0.0016946696	-1.4231104	0.9128968	0.018380336	0.253	2.0	11036.902560949326
13	-88.97575	38.563545	-23.246	-121.871	850.75	-10.800764	2.1752126	-4.2006583	-11.6692505	56000	-8.940697e-08	1.926671	0.006943579	-0.58489305	0.9127208	0.02238863	0.325	6.0	11340.66151189804
14	-39.329998	37.769444	-14.323	-114.538	445.0	-8.457013	3.0486991	-2.8023539	-10.85808	60000	-1.4901161e-08	5.2975426	-0.0056214333	-2.7939696	0.9124541	0.0051288283	0.0695	39.0	11935.468469142914
15	-42.273666	36.19764	-13.343	-109.343	520.0	-6.2132487	2.5445137	-3.7453046	-11.38308	64000	0.0	9.267247	-0.0069897845	-7.3828487	0.9082786	0.0073436117	0.074	39.0	13736.486307382584
16	-78.79875	41.565475	-9.253	-119.257	798.5	-9.801095	1.037036	-5.7004805	-10.671347	68000	-2.9802322e-08	1.6094351	-0.0048112087	-1.1396275	0.90784734	0.0059430758	0.040749997	39.0	15118.154080867767
17	-81.043495	40.771954	-11.31	-114.115	803.75	-9.896547	1.8804296	-2.868314	-11.816258	72000	-3.7252903e-09	0.70639163	-0.0049751736	-0.1448825	0.9064609	0.007196823	0.08275	39.0	15273.004852771759
18	-17.3415	3.7991784	-11.753	-23.013	241.375	-6.7626114	3.4036074	-2.2861316	-12.024691	76000	0.0	8.165616	-0.0067422315	-5.572051	0.9029303	0.009193852	0.09774999	39.0	15559.686162471771
19	-24.131834	19.184546	-12.254	-66.416	378.16666	-5.6734953	2.2182739	-3.5746307	-9.285922	80000	-1.4901161e-08	2.9628093	-0.007301064	-1.0647609	0.8992187	0.011200716	0.0955	39.0	17176.50517630577
20	-46.7148	35.18311	-7.708	-98.129	585.6	-7.096955	2.223706	-4.095387	-11.130578	84000	2.9802322e-08	3.0033576	-0.006546162	-1.8187634	0.8945598	0.007352367	0.060000002	39.0	18693.32359933853
21	-19.514502	3.2613215	-14.497	-24.023	316.5	-6.3873634	2.8621535	-2.5055077	-11.076995	88000	-1.8626451e-09	2.028845	-0.0067698853	-0.5044583	0.8914096	0.0051908316	0.06075	39.0	19287.62463903427
22	-34.838	37.84141	-12.406	-118.055	415.66666	-7.8086596	3.0179763	-3.5738063	-10.880655	92000	-2.2351742e-08	2.7084496	-0.0092788115	-1.0246357	0.89662963	0.0066396645	0.071499996	39.0	20679.11592888832
23	-36.332333	39.53287	-8.354	-123.22	413.5	-7.3684855	3.2391436	-3.5244453	-12.475329	96000	3.7252903e-09	2.5275083	-0.0062603606	-0.84712994	0.8932016	0.004322133	0.053000003	39.0	21913.882262706757
24	-38.067333	25.314608	-17.117	-75.903	544.8333	-7.2186465	2.522964	-3.1460862	-9.919443	100000	3.7252903e-08	2.9668803	0.0047931597	-1.8589892	0.88874424	0.022489592	0.30225	2.0	22475.507776021957
25	-29.307665	22.281572	-16.384	-78.464	425.33334	-6.714537	1.716534	-3.7387285	-8.503902	104000	0.0	4.4266834	-0.0026549324	-2.854682	0.8885413	0.017747166	0.2125	7.0	23117.156429052353
26	-23.167429	19.982525	-8.507	-70.623	372.42856	-5.4333234	1.1763469	-3.9162085	-7.3237176	108000	-2.6542693e-08	3.0488107	-0.0051493226	-0.98023695	0.88781554	0.0072221463	0.06075	39.0	24043.569765090942
27	-30.7134	32.10263	-7.172	-93.62	418.6	-6.085159	1.3133004	-3.4105942	-7.449064	112000	-1.4901161e-08	3.5168478	0.0059684664	-2.3463504	0.88644814	0.019608019	0.35	6.0	24463.99342894554
28	-34.189163	22.230053	-18.924	-83.408	445.66666	-7.114466	2.3573527	-2.9443686	-9.835552	116000	-8.381903e-09	4.2324038	0.000963836	-1.8134239	0.8864057	0.015720183	0.20075	1.0	24833.380605697632
29	-41.50783	24.198788	-12.526	-80.887	657.8333	-6.5209737	1.1498986	-4.4730587	-7.787875	120000	3.7252903e-09	3.7768395	0.0073779784	-2.340544	0.88637275	0.018552192	0.31775	3.0	25118.127945423126
30	-31.0805	17.785423	-13.33	-65.335	438.16666	-4.811969	1.2736055	-2.8256783	-6.5867567	124000	-2.9802322e-08	3.91364	-0.0071571562	-2.2289076	0.88613206	0.0059237154	0.043250002	39.0	26926.482110738754
31	-23.639112	14.492268	-7.802	-61.409	371.1111	-4.9009285	1.4050006	-2.6160648	-7.3320746	128000	-1.4901161e-08	3.1825886	-0.00822169	-1.0978456	0.8840637	0.0031162049	0.06275	39.0	28640.211716413498
32	-21.477285	11.44508	-8.646	-40.869	311.85715	-5.397595	2.2164176	-0.60136366	-8.701398	132000	-2.6077032e-08	5.1286807	-0.0054102615	-3.1495912	0.8787447	0.00540681	0.1065	39.0	29725.0624563694
33	-78.352005	6.1973615	-71.794	-87.208	1000.0	-6.5324244	0.1467737	-6.275974	-6.6593595	136000	4.4703484e-08	2.2254357	0.0140090175	-1.7494949	0.873948	0.023175657	0.3225	5.0	29763.46770310402
34	-29.346666	23.687502	-8.944	-79.494	403.5	-7.401551	1.3865708	-3.6470582	-10.986621	140000	5.9604645e-08	5.9185863	-0.0053949123	-4.6796083	0.87350225	0.0057952786	0.0695	39.0	30529.31972837448
35	-28.651285	24.232393	-13.638	-86.445	390.2857	-5.957909	0.8512273	-3.873299	-7.983452	144000	-1.4901161e-08	4.0848713	-0.011685893	-2.6248736	0.8728272	0.0055560935	0.10250001	39.0	31343.342797994614
36	-37.443	24.160246	-16.927	-67.149	579.6	-6.648293	2.3609614	-1.369963	-8.828169	148000	2.2351742e-08	2.5755844	-0.0050880536	-1.6794178	0.8610267	0.0055754827	0.045750003	39.0	32028.36994743347
37	-27.840626	18.359098	-11.136	-68.508	452.375	-4.906	1.4837434	-2.8929155	-7.4359007	152000	1.3038516e-08	4.7133675	0.00056098844	-3.4563642	0.86258537	0.021716312	0.22325	6.0	33634.49052667618
38	-23.945	7.7031646	-13.357	-33.92	386.875	-4.918701	1.498578	-1.296703	-8.075509	156000	-2.0489097e-08	2.7347007	-0.009023121	-1.5614133	0.8628502	0.010899965	0.10975	39.0	34651.95398283005
39	-34.1765	21.72031	-11.169	-66.139	521.5	-5.748709	1.8192122	-1.5291693	-10.101594	160000	-1.4901161e-08	3.1404634	-0.0051791053	-2.2365294	0.8589023	0.0034161499	0.07525	39.0	36123.99440026283
40	-743.12115	1908.1528	-6.282	-5791.525	322.125	-5.0404587	2.7127821	1.9970824	-9.149665	164000	-3.7252903e-09	417954.75	-0.00090177543	-17896.031	0.85429394	0.017981488	0.21675	3.0	37151.08743286133
41	-44.826168	32.25603	-8.485	-89.184	604.0	-6.967747	5.943555	-1.8492986	-26.084482	168000	2.9802322e-08	48.899345	-0.0029498115	-47.572475	0.8539594	0.006222494	0.034500003	39.0	38219.310641527176
42	-20.96225	11.068907	-11.742	-48.063	347.25	-11.429129	18.20552	-1.6568152	-68.2636	172000	-1.4901161e-08	374.70602	-0.000450816	-372.4806	0.84717846	0.015626892	0.16525	6.0	39497.254501104355
43	-39.41	25.948933	-12.127	-88.771	648.8333	-3.6447048	2.7610993	7.461686	-5.7254515	176000	-5.2154064e-08	14.4352455	0.0038226768	-11.635159	0.8462397	0.015029304	0.25225002	2.0	41403.874006032944
44	-17.333818	8.338668	-7.359	-33.907	257.63635	-4.981708	1.5047079	-1.5895305	-7.201951	180000	1.4901161e-08	7.557687	-0.006599822	-4.8411155	0.8461009	0.0026382264	0.07625	39.0	42312.04147863388
45	-18.2332	6.3702264	-10.119	-28.838	265.8	-4.603296	1.2360483	-3.2034557	-8.148586	184000	2.3748726e-08	3.3474422	-0.0069290013	-0.32892805	0.8370433	0.004825173	0.096	39.0	42916.3273293972
46	-42.4224	31.234053	-15.961	-96.564	560.2	-6.08197	1.9245353	-4.1233277	-9.217353	188000	2.2351742e-08	2.0680776	-0.0057749213	-0.6662177	0.8326581	0.00600228	0.05525	39.0	44358.090777635574
47	-28.680248	22.54099	-10.976	-76.659	435.0	-5.371949	0.63067013	-4.536575	-6.388391	192000	-7.450581e-09	4.2154984	-0.00070700236	-0.8110061	0.82919765	0.016022135	0.2085	2.0	45835.31248855591
48	-25.309334	23.093353	-11.32	-89.136	344.8889	-5.340083	1.397657	-2.7812982	-7.649709	196000	2.6077032e-08	4.008272	-0.008881129	-1.3368015	0.829027	0.007850889	0.10075	39.0	47340.778368234634
49	-23.3982	8.196207	-6.081	-34.701	324.1	-4.0763383	0.8681117	-2.3478823	-7.161739	200000	0.0	5.7459297	0.014173061	-2.0572681	0.8252377	0.032638457	0.4105	6.0	48151.187413454056
50	-42.232716	30.816452	-18.859	-95.991	506.14285	-7.46297	1.7677501	-3.972398	-9.179854	204000	3.7252903e-09	2.8411963	-0.00021543307	-0.90950495	0.8250704	0.015970012	0.21200001	6.0	48554.43904232979
51	-19.432901	6.311844	-7.101	-29.578	269.7	-5.390785	1.6519501	-3.6419559	-9.691552	208000	3.7252903e-09	5.2470484	-0.0070503894	-1.5225765	0.82481813	0.0032238292	0.065	39.0	49397.57487177849
52	-41.3695	33.048187	-6.732	-107.574	469.875	-7.22884	2.1710181	-2.9245512	-9.854123	212000	1.4901161e-08	2.6025658	-0.006825829	-0.59504783	0.8255357	0.008425404	0.10575	39.0	50245.566408872604
53	-12.265715	3.9473872	-5.587	-16.804	198.85715	-6.8968973	3.1641557	-2.0324934	-11.22918	216000	5.9604645e-08	2.830827	0.008762069	-1.719933	0.82017845	0.020217866	0.31875	6.0	50969.754769325256
54	-57.6574	29.405718	-16.618	-89.529	716.2	-7.0205317	2.1756063	-3.5201373	-9.295658	220000	1.4901161e-08	5.903699	-0.0042370707	-3.6705568	0.8189072	0.0042402027	0.042999998	39.0	52559.28608965874
55	-49.804752	33.291737	-10.078	-83.411	628.5	-6.4605536	0.89766014	-3.0359995	-7.322084	224000	-3.7252903e-08	2.3263755	-0.0060517564	-1.3558737	0.8111924	0.008192719	0.0915	39.0	54243.646523952484
56	-26.025778	16.822853	-9.331	-69.781	363.1111	-5.389196	1.2347932	-2.475457	-7.3004174	228000	-9.313226e-09	3.4878607	-0.007966603	-0.6528066	0.80542	0.0067311823	0.07175	39.0	55275.017971754074
57	-40.54825	33.282368	-6.484	-83.677	535.25	-7.672626	1.8012635	-1.8629586	-10.0918665	232000	-1.7229468e-08	1.224391	-0.0048913835	-0.5399645	0.80278134	0.007570976	0.0575	39.0	56079.40849876404
58	-27.607887	25.837507	-3.84	-79.209	393.44446	-5.6377892	1.7681367	-2.1981916	-7.8022184	236000	2.2351742e-08	2.5593271	0.0017456384	-1.073817	0.7994374	0.016718244	0.296	2.0	57061.361391067505
59	-17.935625	11.488195	-4.902	-36.954	247.75	-6.05554	1.6389995	-2.115576	-7.9341297	240000	-2.9802322e-08	3.1635146	-0.006225081	-1.1794302	0.79946625	0.009028176	0.077250004	39.0	58347.49762248993
60	-30.198124	19.917437	-9.447	-71.102	470.625	-5.021965	1.4848491	-2.1684675	-6.941881	244000	7.450581e-09	1.7362341	-0.005718665	-0.37185034	0.79902726	0.0071627	0.063	39.0	59732.89071416855
61	-24.862286	19.392338	-9.618	-66.584	363.7143	-7.356893	2.2336357	-2.6854045	-10.325818	248000	-1.1175871e-08	2.6827102	-0.0060812524	-1.1857681	0.8026557	0.005149807	0.06725	39.0	60356.9706993103
62	-30.626999	26.28634	-12.003	-98.24	365.125	-6.864036	1.6269891	-3.5536618	-9.497606	252000	0.0	6.8185883	-0.008366592	-3.9636722	0.8086907	0.008595977	0.10675	39.0	61900.10917425156
