Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-73.92	50.59	-23.33	-124.51	1000.0	1999	-0.24122709	0.15551242	-0.054276228	-0.6789801	0.23644283	6.1400584e-05	54.88552761077881
2	-89.990005	0.920002	-89.07	-90.91	1000.0	3999	-0.7219781	0.40133002	-0.16237831	-1.7713587	0.71694016	3.6710753e-05	133.21652269363403
3	-91.195	30.394999	-60.8	-121.59	1000.0	5999	-1.2391405	0.6488071	0.44131073	-2.7338085	1.23361	8.83818e-05	209.08696913719177
4	-59.39	37.29	-22.1	-96.68	1000.0	7999	-1.4454082	1.0639007	0.36249918	-3.66325	1.4403228	6.333693e-05	286.7357246875763
5	-108.08	23.619999	-84.46	-131.7	1000.0	9999	-1.9978186	1.323814	-0.23934083	-4.5755477	1.9910052	8.5108775e-05	362.6141631603241
6	-165.825	40.475002	-125.35	-206.3	1000.0	11999	-2.6145477	1.5424736	-0.5012785	-5.8469005	2.606642	0.00014252293	438.6140556335449
7	-157.26	37.16	-120.1	-194.42	1000.0	13999	-3.327436	1.7880455	-0.5728538	-7.591477	3.3173866	0.00014726073	515.0193660259247
8	-201.54999	69.35	-132.2	-270.9	1000.0	15999	-4.0192723	2.113314	-0.6231263	-9.185796	4.006964	0.00019121892	591.7525777816772
9	-181.17	70.82	-110.35	-251.99	1000.0	17999	-4.7907395	2.495402	-0.6919844	-10.605563	4.7767453	0.0002048857	669.4810609817505
10	-175.305	64.415	-110.89	-239.72	1000.0	19999	-5.614737	2.9403005	-0.78343666	-12.069639	5.5996175	0.00022814095	747.1729640960693
11	-109.369995	2.5499992	-106.82	-111.92	1000.0	21999	-6.340027	3.3729312	-0.8310737	-13.601852	6.327461	0.00023150911	820.3700697422028
12	-127.045	62.765	-64.28	-189.81	1000.0	23999	-6.9164095	3.647235	-0.94506776	-15.013985	6.906147	0.00024317532	897.5271632671356
13	-200.725	48.475	-152.25	-249.2	1000.0	25999	-7.4506483	3.9570882	-1.086032	-16.33168	7.441086	0.00026347634	972.8218820095062
14	-80.65	42.839996	-37.81	-123.49	1000.0	27999	-7.9956117	4.383963	-1.1791052	-17.535925	7.9864492	0.00028903657	1047.8001396656036
15	-125.845	10.774998	-115.07	-136.62	1000.0	29999	-8.390061	4.590502	-1.2623525	-18.578781	8.380486	0.00033065112	1125.291303396225
16	-182.61499	44.644997	-137.97	-227.26	1000.0	31999	-8.823487	4.790551	-1.3324413	-19.55428	8.813556	0.0003425889	1202.0215995311737
17	-105.86	63.59	-42.27	-169.45	1000.0	33999	-9.38166	5.1035852	-1.3514066	-20.476433	9.37169	0.00036351357	1276.164371728897
18	-142.205	82.604996	-59.6	-224.81	1000.0	35999	-9.700096	5.3673377	-1.3913945	-21.308887	9.69073	0.00039624033	1353.8353774547577
19	-158.495	59.575005	-98.92	-218.07	1000.0	37999	-10.10109	5.636848	-1.4741086	-22.066359	10.092315	0.00042529101	1428.924327135086
20	-51.965	14.185001	-37.78	-66.15	1000.0	39999	-10.191885	5.8220725	-0.90646005	-22.83458	10.183911	0.00048618525	1505.606189250946
21	-53.795	22.904999	-30.89	-76.7	1000.0	41999	-10.109383	6.058884	-0.9264711	-23.473434	10.100977	0.00047275584	1580.5689585208893
22	-135.14	8.559998	-126.58	-143.7	1000.0	43999	-10.227436	6.156969	-1.0388503	-24.041897	10.2190695	0.0004702327	1657.746633529663
23	-73.515	22.805	-50.71	-96.32	1000.0	45999	-10.327261	6.2774177	-1.0862914	-24.534231	10.319152	0.00047417526	1733.3565530776978
24	-162.515	34.095	-128.42	-196.61	1000.0	47999	-10.4834585	6.3418574	-1.2810087	-24.97433	10.474826	0.00046013843	1811.2243230342865
25	-130.41	60.81	-69.6	-191.22	1000.0	49999	-10.78243	6.458629	-1.5523292	-25.34274	10.773828	0.0004627298	1886.1868319511414
26	-107.405	48.434998	-58.97	-155.84	1000.0	51999	-10.702961	6.6045895	-1.5794647	-25.585348	10.68318	0.00053288473	1962.8894701004028
27	-101.53	23.650002	-77.88	-125.18	1000.0	53999	-10.640762	6.6068344	-1.394079	-25.643543	10.615008	0.0005502263	2039.7269160747528
28	-55.545002	12.575001	-42.97	-68.12	1000.0	55999	-10.379704	6.6577177	-1.3575785	-25.814709	10.354758	0.0005400577	2115.0892989635468
29	-32.755	2.1349993	-30.62	-34.89	1000.0	57999	-10.111049	6.7522225	-1.3537068	-26.026241	10.087182	0.000600073	2190.3723497390747
30	-49.855003	3.3649998	-46.49	-53.22	1000.0	59999	-9.852194	6.892276	-1.2719231	-26.256884	9.827325	0.0005407258	2264.93723988533
31	-45.905	2.3950005	-43.51	-48.3	1000.0	61999	-9.644393	6.9619803	-1.3406184	-26.370382	9.612995	0.0005515807	2340.689751625061
32	-13.410001	18.698135	6.71	-38.33	566.6667	63999	-9.368397	7.0059023	-1.0746951	-26.641777	9.336831	0.007139368	2415.272752761841
33	-60.345	1.1750011	-59.17	-61.52	1000.0	65999	-9.12485	6.997073	-0.60633355	-26.827412	9.092348	0.0056253336	2490.5210223197937
34	-44.755	6.625	-38.13	-51.38	1000.0	67999	-8.837882	7.0011606	-0.55783117	-26.774132	8.806969	0.0039224173	2566.9085783958435
35	-61.235	5.6049976	-55.63	-66.84	1000.0	69999	-8.626458	7.0016823	-0.21805203	-26.888735	8.592058	0.004488331	2642.0350337028503
36	-55.025	21.885002	-33.14	-76.91	1000.0	71999	-8.458549	6.9350157	0.22033973	-26.99503	8.422945	0.0054772682	2719.3107767105103
37	-12.486668	16.217535	9.62	-28.83	609.3333	73999	-8.20351	6.935524	0.43332228	-26.83836	8.168966	0.0050409576	2795.7647256851196
