Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-174.98	0.0	-174.98	-174.98	1000.0	-0.1922831	0.0023147818	-0.18994416	-0.20845805	1000	-6.694794e-07	265.09677	-0.0049338066	-196.63959	0.918938	0.016892927	0.212	6.0	22.255096673965454
1	-67.31	0.0	-67.31	-67.31	1000.0	-8.481295	0.039490204	-8.382495	-8.550296	2000	-8.606911e-08	2.4267626	-0.0052153096	-1.3415525	0.91714674	0.004009631	0.024	79.0	42.769044399261475
2	-104.23	0.0	-104.23	-104.23	1000.0	-7.791125	0.04307708	-7.6500406	-7.874012	3000	1.5497207e-08	7.0966425	-0.007364297	-6.117503	0.9154296	0.006749881	0.064	79.0	63.20762538909912
3	-115.4	0.0	-115.4	-115.4	1000.0	-9.8383	0.076631315	-9.679307	-9.946786	4000	-9.059906e-08	3.122038	-0.011587104	-2.481827	0.91130924	0.010972972	0.089	79.0	84.67423343658447
4	-35.07	0.0	-35.07	-35.07	1000.0	-11.186213	0.045955688	-11.035566	-11.25001	5000	-4.3821336e-07	50.61959	-0.009773507	-47.289	0.9129434	0.006248705	0.105	79.0	105.00960659980774
5	-110.13	0.0	-110.13	-110.13	1000.0	-5.142404	0.049403563	-4.980582	-5.2135005	6000	-1.1539459e-07	30.66162	-0.005857754	-28.563099	0.90567833	0.007675347	0.051	79.0	125.97990584373474
6	-58.4	0.0	-58.4	-58.4	1000.0	-9.750886	0.04849774	-9.61397	-9.817316	7000	-5.1498414e-08	12.964295	-0.00859193	-11.230511	0.9154812	0.0027640956	0.075	79.0	146.71257948875427
7	-137.99	0.0	-137.99	-137.99	1000.0	-6.881984	0.026790284	-6.796405	-6.934226	8000	2.7799607e-07	42.411606	-0.013399313	-39.937283	0.9094524	0.0067571774	0.127	79.0	167.3009650707245
8	-90.2	0.0	-90.2	-90.2	1000.0	-12.39625	0.02805235	-12.297664	-12.439901	9000	-4.005432e-08	9.075581	-0.00359719	-8.248827	0.8962781	0.015419188	0.164	11.0	188.13399982452393
9	-85.1	0.0	-85.1	-85.1	1000.0	-9.772066	0.029805113	-9.701119	-9.827515	10000	2.8514862e-07	1.2321463	-0.0063218335	-1.1074816	0.8953317	0.0034819269	0.075	79.0	209.3303246498108
10	-95.47	0.0	-95.47	-95.47	1000.0	-8.561738	0.04395403	-8.464051	-8.656682	11000	-2.5987624e-08	1.0831859	-0.0045786463	-0.689116	0.8866758	0.002249725	0.04	79.0	230.09049105644226
11	-90.86	0.0	-90.86	-90.86	1000.0	-9.6245365	0.017087504	-9.583593	-9.671643	12000	-3.2484532e-08	0.28775904	-0.0108505	-0.16105276	0.89749295	0.005938221	0.132	79.0	250.8287136554718
12	9.22	0.0	9.22	9.22	29.0	-9.1439495	0.022486588	-9.0901375	-9.204182	13000	-1.12801795e-08	9.550227	-0.0035081406	-0.069179535	0.89425206	0.015988644	0.165	11.0	270.8250663280487
13	-78.05	0.0	-78.05	-78.05	1000.0	-9.02115	0.04872475	-8.942173	-9.133642	14000	1.5032292e-07	1.7441441	-0.0048286454	-1.3023179	0.89217186	0.017086491	0.132	7.0	289.8411269187927
14	-112.12	0.0	-112.12	-112.12	1000.0	-8.274413	0.01951016	-8.225713	-8.310795	15000	-2.4318695e-08	7.741472	-0.0042484174	-7.2379785	0.89057493	0.016319545	0.216	7.0	309.54122614860535
15	-73.73	0.0	-73.73	-73.73	1000.0	-10.845492	0.031486288	-10.761641	-10.8985405	16000	3.0183793e-07	10.734202	-0.007372605	-10.070139	0.890205	0.003550711	0.036	79.0	329.71860361099243
16	-34.34	0.0	-34.34	-34.34	1000.0	-7.7187486	0.05318851	-7.5386367	-7.79171	17000	-3.1089783e-07	15.974817	-0.004074313	-14.662474	0.87521994	0.0050132815	0.033	79.0	350.5193498134613
17	-58.36	0.0	-58.36	-58.36	1000.0	-3.7291875	0.061211046	-3.4455633	-3.8059072	18000	1.2588501e-07	3.5948381	-0.0075450144	-2.9423685	0.87852603	0.00670244	0.038	79.0	370.6967821121216
18	-60.9	0.0	-60.9	-60.9	1000.0	-5.4318643	0.04694879	-5.2061863	-5.505698	19000	1.8715859e-08	0.5367095	-0.0076335836	-0.43868265	0.8907268	0.0015028277	0.036	79.0	391.1756110191345
19	-101.56	0.0	-101.56	-101.56	1000.0	-6.356938	0.038787454	-6.22491	-6.4091983	20000	3.9339065e-07	13.128004	-0.0031256275	-12.399775	0.88913924	0.016741028	0.184	6.0	411.0710144042969
20	-46.63	0.0	-46.63	-46.63	1000.0	-9.717789	0.032941695	-9.584406	-9.771324	21000	-1.4019012e-07	22.922178	-0.017145803	-21.98872	0.88879436	0.00874364	0.15	79.0	432.47767639160156
21	-49.41	0.0	-49.41	-49.41	1000.0	-5.2087216	0.06409759	-5.0329294	-5.33508	22000	-1.7225743e-08	0.33326688	-0.0054486357	-0.07048464	0.87676895	0.017802931	0.274	6.0	451.31082367897034
22	-100.27	0.0	-100.27	-100.27	1000.0	-4.484418	0.08181658	-4.2992105	-4.639532	23000	-1.6832351e-07	27.645523	-0.0028443274	-26.008078	0.8753665	0.016768623	0.151	8.0	469.82019114494324
23	-96.63	0.0	-96.63	-96.63	1000.0	-9.72182	0.027214881	-9.667025	-9.757135	24000	-5.2824616e-09	0.4118373	-0.011051278	-0.0012807846	0.87461686	0.0051324842	0.08	79.0	491.32465052604675
24	-83.15	0.0	-83.15	-83.15	1000.0	-9.629234	0.01916798	-9.58467	-9.670409	25000	4.7683715e-09	1.5913326	-0.011460158	-1.4698908	0.87581086	0.005748048	0.118	79.0	511.9698622226715
25	-86.63	0.0	-86.63	-86.63	1000.0	-8.571961	0.013604626	-8.528292	-8.599463	26000	-2.2530555e-08	0.062209252	-0.01222685	-0.0028218776	0.87325203	0.010738742	0.111	79.0	533.0174124240875
26	-45.76	0.0	-45.76	-45.76	1000.0	-8.60806	0.01835276	-8.564735	-8.646291	27000	-5.683899e-07	13.761187	-0.005136674	-12.919607	0.85342604	0.01913987	0.233	5.0	552.0317251682281
27	-92.06	0.0	-92.06	-92.06	1000.0	-4.9394274	0.016926609	-4.8988314	-4.9771047	28000	2.0933152e-07	14.463585	-0.007749239	-13.602457	0.85262036	0.004606803	0.067	79.0	572.8341159820557
28	-120.08	0.0	-120.08	-120.08	1000.0	-8.726493	0.01055468	-8.707207	-8.752902	29000	3.9577483e-08	9.572061	-0.007570595	-8.769024	0.8447284	0.016851714	0.183	5.0	593.2189259529114
29	-92.17	0.0	-92.17	-92.17	1000.0	-11.552524	0.013063055	-11.522496	-11.578837	30000	1.11579894e-07	4.478588	-0.0072817313	-4.044656	0.84412897	0.008315143	0.066	79.0	613.3358626365662
30	-93.18	0.0	-93.18	-93.18	1000.0	-9.455136	0.022643805	-9.397318	-9.492434	31000	-6.7353247e-09	0.08084334	-0.00963682	-0.015937924	0.8324169	0.005880053	0.084	79.0	634.1477744579315
31	-64.08	0.0	-64.08	-64.08	1000.0	-9.533115	0.0209639	-9.496154	-9.57777	32000	7.8678134e-08	9.077573	-0.007140768	-8.629087	0.8273834	-0.0009053831	0.051	79.0	655.2321329116821
32	-98.34	0.0	-98.34	-98.34	1000.0	-6.68366	0.020513762	-6.632765	-6.7309065	33000	-4.105568e-07	8.1733885	-0.0068306574	-7.6272097	0.81266797	0.02183752	0.199	5.0	674.0046763420105
33	-78.68	0.0	-78.68	-78.68	1000.0	-9.466933	0.024280425	-9.424336	-9.512243	34000	-5.2928925e-08	2.4197073	-0.0069760536	-2.228868	0.81252474	0.011691495	0.073	79.0	694.4736526012421
34	-106.23	0.0	-106.23	-106.23	1000.0	-7.8169823	0.041141346	-7.7586246	-7.9263043	35000	-2.8276443e-07	7.4143496	-0.0052466583	-6.9482546	0.8154362	0.016940903	0.192	7.0	714.0285880565643
35	-98.11	0.0	-98.11	-98.11	1000.0	-10.3943205	0.017875403	-10.351872	-10.42736	36000	2.7656554e-08	0.33275527	-0.015784781	-0.28583914	0.8154623	0.008221721	0.118	79.0	734.3012387752533
36	-59.72	0.0	-59.72	-59.72	1000.0	-9.921755	0.020433662	-9.891171	-9.9809885	37000	1.9288063e-07	14.736977	-0.0045270375	-13.967588	0.8183053	0.015323823	0.228	9.0	753.6525058746338
37	-130.68	0.0	-130.68	-130.68	1000.0	-6.364556	0.048471507	-6.254755	-6.4740915	38000	-1.2397766e-08	40.631382	-0.011238304	-38.212643	0.81899095	0.0025582674	0.085	79.0	774.3271911144257
38	-63.98	0.0	-63.98	-63.98	1000.0	-12.522941	0.013866518	-12.498005	-12.561191	39000	-9.250641e-08	35.397266	-0.00972993	-33.260117	0.83725536	0.017563818	0.219	5.0	793.1964087486267
39	-116.11	0.0	-116.11	-116.11	1000.0	-7.183743	0.04974998	-7.0840745	-7.2965384	40000	3.106594e-07	18.413235	-0.007981008	-17.192493	0.83810097	0.003604983	0.067	79.0	813.5003459453583
40	-33.1	0.0	-33.1	-33.1	1000.0	-11.265255	0.015543231	-11.239376	-11.305192	41000	-2.503395e-07	54.14547	-0.0071762204	-51.277344	0.8436751	0.006034958	0.086	79.0	834.2488393783569
41	-86.92	0.0	-86.92	-86.92	1000.0	-4.6956553	0.04842223	-4.58106	-4.8043475	42000	-2.551079e-07	13.501373	-0.011188405	-12.616587	0.85158485	0.0071789357	0.096	79.0	855.3373696804047
42	-23.45	0.0	-23.45	-23.45	1000.0	-8.174719	0.016635926	-8.128059	-8.222257	43000	-2.2554397e-07	29.85769	-0.0059999144	-28.460953	0.84842455	0.0011764831	0.056	79.0	876.0077877044678
43	8.63	0.0	8.63	8.63	51.0	-2.159697	0.15021993	-1.9756038	-2.7811518	44000	-6.9499016e-08	70.38762	-0.0054297107	-52.320213	0.8467292	0.005203021	0.041	79.0	897.9895033836365
44	-80.85	0.0	-80.85	-80.85	1000.0	-9.23977	0.00436969	-9.230135	-9.253469	45000	1.1205673e-08	1.4792396	-0.015753517	-1.2200207	0.83673567	0.0038047915	0.132	79.0	918.2902867794037
45	-75.17	0.0	-75.17	-75.17	1000.0	-8.229076	0.0024443618	-8.220737	-8.237426	46000	5.9604645e-08	0.7609076	-0.008330179	-0.58590263	0.8117907	0.008025877	0.042	79.0	939.0521080493927
46	-95.09	0.0	-95.09	-95.09	1000.0	-7.468099	0.0023656613	-7.459416	-7.474206	47000	1.5401841e-07	3.386062	-0.007336971	-2.8880045	0.8087025	0.015511158	0.205	7.0	957.7773561477661
