Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-124.8325	11.998719	-112.94	-143.08	1000.0	-0.18446457	0.0061980733	-0.17387335	-0.20590578	4000	-2.3841858e-07	133.84795	-0.0032506771	-115.173294	0.918938	0.0040291212	0.02775	79.0	23.189815521240234
1	-101.270004	25.132547	-68.62	-128.48	1000.0	-8.15211	0.08551022	-7.9107757	-8.328129	8000	5.9604645e-08	10.200399	-0.006320402	-3.6689742	0.92560154	0.0059690354	0.05425	79.0	46.56444525718689
2	-90.0325	24.42195	-69.39	-131.34	1000.0	-9.852273	0.10443246	-9.574576	-10.078956	12000	-2.9802322e-08	6.4861794	-0.004247036	-0.93716955	0.9286102	0.004193539	0.034	79.0	68.7260754108429
3	-91.985	35.140167	-54.27	-136.77	1000.0	-9.177803	0.15763777	-8.807839	-9.429497	16000	-1.4901161e-07	10.875631	-0.0048433393	-0.8855039	0.9324031	0.0044895858	0.0385	79.0	91.35886812210083
4	-77.350006	34.836205	-37.41	-131.13	1000.0	-9.148952	0.23193021	-8.82854	-9.584031	20000	0.0	11.091537	-0.0023065023	-2.4621274	0.9228262	0.002585645	0.019749999	79.0	113.81493401527405
5	-88.9525	19.123997	-68.34	-111.01	1000.0	-7.24092	0.73591745	-6.276436	-8.416055	24000	-1.4901161e-08	4.299158	-0.0021394044	-2.5307674	0.9222395	0.004914918	0.028	79.0	135.91899991035461
6	-81.270004	22.862951	-42.76	-102.44	1000.0	-9.463597	0.44082618	-8.657692	-9.979538	28000	-1.4901161e-08	5.0093083	-0.0059309267	-2.1883864	0.9136622	0.0035896061	0.064	79.0	158.0396749973297
7	-78.682495	27.000689	-35.05	-104.56	1000.0	-8.036272	0.7954773	-7.208323	-9.460934	32000	-2.9802322e-08	5.209822	-0.00383389	-0.5457393	0.90432745	0.0062279957	0.0735	79.0	179.79880952835083
8	-74.435	19.014572	-57.81	-106.77	1000.0	-7.39597	1.371632	-5.1402297	-8.765046	36000	8.940697e-08	4.9440217	-0.006024666	-1.749245	0.8831289	0.007429608	0.055749997	79.0	201.7471182346344
9	-79.41	21.292004	-45.83	-101.19	1000.0	-6.6588917	1.2107515	-4.323247	-8.378879	40000	-2.9802322e-08	9.07369	-0.002984291	-4.1828084	0.8833044	0.004719217	0.031999998	79.0	223.49768686294556
10	-60.49	6.665069	-53.33	-67.26	1000.0	-7.9147296	0.159718	-7.5637794	-8.417326	44000	-5.9604645e-08	3.7735949	-0.004002437	-3.0450025	0.8861637	0.00564095	0.04575	79.0	244.99009799957275
11	-74.485	7.37357	-63.87	-83.37	1000.0	-5.9573936	0.17308667	-5.4997287	-6.3992357	48000	-2.9802322e-08	2.534668	-0.0044329017	-1.6085472	0.883738	0.0075171026	0.052	79.0	266.5436329841614
12	-66.884995	25.142454	-31.98	-93.86	1000.0	-7.041828	0.28140518	-6.4449296	-7.8739705	52000	0.0	5.7298455	-0.0051815137	-0.91584206	0.8778535	0.004564013	0.081	79.0	288.630521774292
13	-86.83501	62.850487	-16.6	-159.71	906.0	-5.587251	0.8131805	-3.928487	-7.7574754	56000	0.0	48.522087	-0.0037463307	-16.221336	0.8521953	0.0028729711	0.03875	79.0	311.2731099128723
14	-55.382496	38.667336	9.19	-87.42	756.25	-8.283905	0.62756366	-6.4782815	-9.822998	60000	-2.9802322e-08	4.329308	-0.0022119363	-0.6321908	0.83718675	0.0039808378	0.02375	79.0	333.2295751571655
15	-77.545	25.03449	-45.27	-115.52	1000.0	-7.996089	0.36877188	-7.2445707	-9.043517	64000	-4.4703484e-08	5.167072	-0.0045791585	-0.8576367	0.8386575	0.0061351648	0.05375	79.0	355.3527464866638
16	-82.412506	20.634508	-54.95	-105.6	1000.0	-8.00139	0.792902	-6.2383165	-8.890579	68000	1.4901161e-08	1.9159663	-0.0055421293	-1.2351834	0.8500319	0.005915777	0.05575	79.0	377.1101610660553
17	-125.8675	21.672659	-103.01	-160.8	1000.0	-9.14613	0.42669082	-7.6859927	-10.186299	72000	-2.9802322e-08	16.887268	-0.0025109649	-11.825568	0.83892506	0.004602723	0.03475	79.0	398.8171052932739
18	-90.91	33.06723	-48.39	-141.25	1000.0	-11.389807	0.966042	-9.34174	-12.704755	76000	-2.9802322e-08	13.049968	-0.005531437	-6.4759836	0.835741	0.0037507976	0.060250003	79.0	420.8483211994171
19	-74.9125	17.288359	-52.06	-96.53	1000.0	-9.880796	1.2172253	-6.904581	-11.426977	80000	-9.685755e-08	6.904335	-0.0053184927	-4.939698	0.8190403	0.0031144938	0.04725	79.0	442.57411098480225
