Wall time,Step,Value
1639808187.1500993,0,-174.97999572753906
1639808207.6640007,1,-67.30999755859375
1639808228.1025853,2,-104.2300033569336
1639808249.5691657,3,-115.4000015258789
1639808269.904606,4,-35.06999969482422
1639808290.8749325,5,-110.12999725341797
1639808311.6075819,6,-58.400001525878906
1639808332.1959596,7,-137.99000549316406
1639808353.028954,8,-90.19999694824219
1639808374.225268,9,-85.0999984741211
1639808394.9854918,10,-95.47000122070312
1639808415.7237902,11,-90.86000061035156
1639808435.7200534,12,9.220000267028809
1639808454.7362154,13,-78.05000305175781
1639808474.436402,14,-112.12000274658203
1639808494.6137576,15,-73.7300033569336
1639808515.4143517,16,-34.34000015258789
1639808535.5918224,17,-58.36000061035156
1639808556.0706496,18,-60.900001525878906
1639808575.9660754,19,-101.55999755859375
1639808597.3728185,20,-46.630001068115234
1639808616.2057967,21,-49.40999984741211
1639808634.7152095,22,-100.2699966430664
1639808656.2196214,23,-96.62999725341797
1639808676.8649127,24,-83.1500015258789
1639808697.9125504,25,-86.62999725341797
1639808716.926713,26,-45.7599983215332
1639808737.7291296,27,-92.05999755859375
1639808758.1140003,28,-120.08000183105469
1639808778.2309244,29,-92.16999816894531
1639808799.0427604,30,-93.18000030517578
1639808820.1271715,31,-64.08000183105469
1639808838.8997214,32,-98.33999633789062
1639808859.3687825,33,-78.68000030517578
1639808878.9236035,34,-106.2300033569336
1639808899.1962457,35,-98.11000061035156
1639808918.5475533,36,-59.720001220703125
1639808939.2223217,37,-130.67999267578125
1639808958.0915747,38,-63.97999954223633
1639808978.3954191,39,-116.11000061035156
1639808999.1438725,40,-33.099998474121094
1639809020.232433,41,-86.91999816894531
1639809040.902962,42,-23.450000762939453
1639809062.8844447,43,8.630000114440918
1639809083.1854515,44,-80.8499984741211
1639809103.9471467,45,-75.16999816894531
1639809122.6723952,46,-95.08999633789062
1639809142.5755966,47,-72.33999633789062
1639809162.9680269,48,-77.44999694824219
1639809183.5372572,49,-114.69999694824219
1639809205.170782,50,-93.37999725341797
1639809225.7954962,51,-73.66000366210938
1639809246.3401027,52,-98.0
1639809266.080911,53,-51.91999816894531
1639809286.4077544,54,-88.7300033569336
1639809305.1545146,55,-42.959999084472656
1639809325.042191,56,-69.27999877929688
1639809343.8866293,57,-118.69999694824219
1639809363.9473493,58,-39.880001068115234
1639809383.6267624,59,-56.41999816894531
1639809403.7245867,60,-104.25
1639809423.16089,61,-108.19000244140625
1639809444.0253344,62,-38.06999969482422
1639809463.5794518,63,-34.72999954223633
1639809484.2605927,64,-87.88999938964844
1639809505.2268267,65,-68.58999633789062
1639809523.9813936,66,-112.38999938964844
1639809544.5851102,67,-75.48999786376953
1639809565.5560303,68,-50.68000030517578
1639809584.3442068,69,-104.37999725341797
1639809602.8032515,70,-73.02999877929688
1639809621.3183875,71,-109.26000213623047
1639809641.3978186,72,-72.47000122070312
1639809662.489782,73,-115.1500015258789
1639809681.7884576,74,-25.760000228881836
1639809701.8557124,75,-83.56999969482422
1639809721.0355248,76,-54.349998474121094
1639809741.558134,77,-118.19999694824219
1639809761.2363415,78,-94.37000274658203
1639809780.7324047,79,-106.41000366210938
